"experiment","task_id","week","B_trajectory","B_true","is_time_zero"
3,145,0,4.08137604772541,4,TRUE
3,145,0.142857142857143,4.90343917502968,4,FALSE
3,145,0.285714285714286,7.02706943801843,4,FALSE
3,145,0.428571428571429,6.04997529243192,4,FALSE
3,145,0.571428571428571,5.95766409239999,4,FALSE
3,145,0.714285714285714,5.39657352013084,4,FALSE
3,145,0.857142857142857,4.92733101418125,4,FALSE
3,145,1,4.95044799040183,4,FALSE
3,145,1.14285714285714,5.36246218058205,4,FALSE
3,145,1.28571428571429,4.51476304311821,4,FALSE
3,145,1.42857142857143,4.11595501414307,4,FALSE
3,145,1.57142857142857,4.49284403814994,4,FALSE
3,145,1.71428571428571,4.53475436285974,4,FALSE
3,145,1.85714285714286,4.91792181906532,4,FALSE
3,145,2,4.01563294263187,4,FALSE
3,145,2.14285714285714,4.15060427774312,4,FALSE
3,145,2.28571428571429,3.74344415074816,4,FALSE
3,145,2.42857142857143,4.1391439968178,4,FALSE
3,145,2.57142857142857,3.82158566343406,4,FALSE
3,145,2.71428571428571,3.75570137267467,4,FALSE
3,145,2.85714285714286,3.73113439958402,4,FALSE
3,145,3,3.80345888524403,4,FALSE
3,145,3.14285714285714,4.05935171526912,4,FALSE
3,145,3.28571428571429,3.88338188462828,4,FALSE
3,145,3.42857142857143,3.34310362601184,4,FALSE
3,145,3.57142857142857,4.04317429570026,4,FALSE
3,145,3.71428571428571,3.87976480874978,4,FALSE
3,145,3.85714285714286,4.26293540680909,4,FALSE
3,145,4,3.58998793700926,4,FALSE
3,145,4.14285714285714,3.57218299845038,4,FALSE
3,145,4.28571428571429,3.89674457569199,4,FALSE
3,145,4.42857142857143,3.85046439179243,4,FALSE
3,145,4.57142857142857,4.01404535164297,4,FALSE
3,145,4.71428571428571,3.95744477467406,4,FALSE
3,145,4.85714285714286,3.54288646873092,4,FALSE
3,145,5,2.86190087380312,2,FALSE
3,145,5.14285714285714,2.46213792714613,2,FALSE
3,145,5.28571428571429,2.42406521591523,2,FALSE
3,145,5.42857142857143,2.21566917222565,2,FALSE
3,145,5.57142857142857,2.07134165250033,2,FALSE
3,145,5.71428571428571,1.73272430662413,2,FALSE
3,145,5.85714285714286,1.4663791228478,2,FALSE
3,145,6,1.60334373124812,2,FALSE
3,145,6.14285714285714,1.555161252338,2,FALSE
3,145,6.28571428571429,1.65682375858151,2,FALSE
3,145,6.42857142857143,1.80646958762478,2,FALSE
3,145,6.57142857142857,1.48186457452915,2,FALSE
3,145,6.71428571428571,1.31852448722745,2,FALSE
3,145,6.85714285714286,1.13949708603492,2,FALSE
3,145,7,0.989181854845668,2,FALSE
3,145,7.14285714285714,0.958810458905296,2,FALSE
3,145,7.28571428571429,1.05749588470266,2,FALSE
3,145,7.42857142857143,1.17892136579194,2,FALSE
3,145,7.57142857142857,1.15384175046128,2,FALSE
3,145,7.71428571428571,1.40216301174996,2,FALSE
3,145,7.85714285714286,1.36930473703863,2,FALSE
3,145,8,1.46130178041209,2,FALSE
3,145,8.14285714285714,1.44465467777611,2,FALSE
3,145,8.28571428571428,1.62237573224749,2,FALSE
3,145,8.42857142857143,1.25937632267123,2,FALSE
3,145,8.57142857142857,1.30250034062018,2,FALSE
3,145,8.71428571428571,1.23593902656473,2,FALSE
3,145,8.85714285714286,1.38816063059126,2,FALSE
3,145,9,1.68988122653692,2,FALSE
3,145,9.14285714285714,1.77120981771579,2,FALSE
3,145,9.28571428571428,1.56924492673735,2,FALSE
3,145,9.42857142857143,1.35648163061453,2,FALSE
3,145,9.57142857142857,1.56118922174221,2,FALSE
3,145,9.71428571428571,1.10890737770537,2,FALSE
3,145,9.85714285714286,0.961730394576975,2,FALSE
3,145,10,0.829876460998136,2,FALSE
