"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9987,7,6,3,1
0.285714285714286,"1",9984,5,11,3,2
0.428571428571429,"1",9978,10,12,6,2
0.571428571428571,"1",9972,14,14,6,3
0.714285714285714,"1",9965,19,16,7,0
0.857142857142857,"1",9956,19,25,9,4
1,"1",9943,23,34,13,5
1.14285714285714,"1",9932,28,40,11,2
1.28571428571429,"1",9917,30,53,15,9
1.42857142857143,"1",9892,38,70,25,13
1.57142857142857,"1",9875,42,83,17,21
1.71428571428571,"1",9852,49,99,23,12
1.85714285714286,"1",9823,58,119,29,7
2,"1",9784,71,145,39,22
2.14285714285714,"1",9743,82,175,41,20
2.28571428571429,"1",9693,106,201,50,27
2.42857142857143,"1",9628,128,244,65,22
2.57142857142857,"1",9577,130,293,51,46
2.71428571428571,"1",9509,133,358,68,30
2.85714285714286,"1",9426,163,411,83,43
3,"1",9334,178,488,92,41
3.14285714285714,"1",9208,230,562,126,43
3.28571428571429,"1",9098,246,656,110,62
3.42857142857143,"1",8966,276,758,132,34
3.57142857142857,"1",8808,311,881,158,166
3.71428571428571,"1",8662,333,1005,146,58
3.85714285714286,"1",8490,355,1155,172,82
4,"1",8307,383,1310,183,47
4.14285714285714,"1",8122,389,1489,185,87
4.28571428571429,"1",7959,416,1625,163,81
4.42857142857143,"1",7759,420,1821,200,89
4.57142857142857,"1",7557,445,1998,202,92
4.71428571428571,"1",7402,425,2173,155,77
4.85714285714286,"1",7236,430,2334,166,51
5,"1",7053,434,2513,183,77
5.14285714285714,"1",6976,362,2662,77,43
5.28571428571429,"1",6901,290,2809,75,36
5.42857142857143,"1",6862,220,2918,39,27
5.57142857142857,"1",6839,165,2996,23,8
5.71428571428571,"1",6818,115,3067,21,3
5.85714285714286,"1",6801,87,3112,17,14
6,"1",6789,75,3136,12,4
6.14285714285714,"1",6763,71,3166,26,13
6.28571428571429,"1",6748,60,3192,15,4
6.42857142857143,"1",6734,52,3214,14,3
6.57142857142857,"1",6723,43,3234,11,11
6.71428571428571,"1",6713,36,3251,10,3
6.85714285714286,"1",6707,31,3262,6,1
7,"1",6703,24,3273,4,3
7.14285714285714,"1",6694,26,3280,9,10
7.28571428571429,"1",6691,16,3293,3,0
7.42857142857143,"1",6688,17,3295,3,2
7.57142857142857,"1",6686,16,3298,2,2
7.71428571428571,"1",6684,9,3307,2,1
7.85714285714286,"1",6683,4,3313,1,0
8,"1",6683,1,3316,0,0
8.14285714285714,"1",6683,0,3317,0,0
8.28571428571428,"1",6683,0,3317,0,0
8.42857142857143,"1",6683,0,3317,0,0
8.57142857142857,"1",6683,0,3317,0,0
8.71428571428571,"1",6683,0,3317,0,0
8.85714285714286,"1",6683,0,3317,0,0
9,"1",6683,0,3317,0,0
9.14285714285714,"1",6683,0,3317,0,0
9.28571428571428,"1",6683,0,3317,0,0
9.42857142857143,"1",6683,0,3317,0,0
9.57142857142857,"1",6683,0,3317,0,0
9.71428571428571,"1",6683,0,3317,0,0
9.85714285714286,"1",6683,0,3317,0,0
10,"1",6683,0,3317,0,0
