"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9982,14,4,8,3
0.285714285714286,"1",9967,24,9,15,9
0.428571428571429,"1",9949,29,22,18,8
0.571428571428571,"1",9937,29,34,12,6
0.714285714285714,"1",9920,37,43,17,7
0.857142857142857,"1",9895,45,60,25,5
1,"1",9873,45,82,22,9
1.14285714285714,"1",9848,60,92,25,12
1.28571428571429,"1",9819,65,116,29,30
1.42857142857143,"1",9776,71,153,43,15
1.57142857142857,"1",9737,77,186,39,18
1.71428571428571,"1",9698,88,214,39,24
1.85714285714286,"1",9646,95,259,52,18
2,"1",9590,113,297,56,28
2.14285714285714,"1",9532,121,347,58,35
2.28571428571429,"1",9451,146,403,81,57
2.42857142857143,"1",9372,166,462,79,46
2.57142857142857,"1",9277,193,530,95,34
2.71428571428571,"1",9176,211,613,101,28
2.85714285714286,"1",9068,222,710,108,90
3,"1",8933,267,800,135,27
3.14285714285714,"1",8796,305,899,137,107
3.28571428571429,"1",8621,342,1037,175,97
3.42857142857143,"1",8430,390,1180,191,67
3.57142857142857,"1",8245,398,1357,185,114
3.71428571428571,"1",8056,420,1524,189,81
3.85714285714286,"1",7872,425,1703,184,153
4,"1",7671,463,1866,201,116
4.14285714285714,"1",7478,443,2079,193,65
4.28571428571429,"1",7316,417,2267,162,123
4.42857142857143,"1",7154,409,2437,162,144
4.57142857142857,"1",6999,399,2602,155,66
4.71428571428571,"1",6860,363,2777,139,57
4.85714285714286,"1",6706,353,2941,154,66
5,"1",6563,344,3093,143,71
5.14285714285714,"1",6501,267,3232,62,49
5.28571428571429,"1",6446,208,3346,55,38
5.42857142857143,"1",6417,161,3422,29,11
5.57142857142857,"1",6397,114,3489,20,12
5.71428571428571,"1",6375,92,3533,22,17
5.85714285714286,"1",6362,83,3555,13,5
6,"1",6351,74,3575,11,15
6.14285714285714,"1",6335,55,3610,16,9
6.28571428571429,"1",6327,45,3628,8,2
6.42857142857143,"1",6325,31,3644,2,4
6.57142857142857,"1",6323,22,3655,2,2
6.71428571428571,"1",6321,13,3666,2,2
6.85714285714286,"1",6321,6,3673,0,0
7,"1",6321,5,3674,0,0
7.14285714285714,"1",6321,1,3678,0,0
7.28571428571429,"1",6320,1,3679,1,0
7.42857142857143,"1",6320,1,3679,0,0
7.57142857142857,"1",6320,1,3679,0,0
7.71428571428571,"1",6320,0,3680,0,0
7.85714285714286,"1",6320,0,3680,0,0
8,"1",6320,0,3680,0,0
8.14285714285714,"1",6320,0,3680,0,0
8.28571428571428,"1",6320,0,3680,0,0
8.42857142857143,"1",6320,0,3680,0,0
8.57142857142857,"1",6320,0,3680,0,0
8.71428571428571,"1",6320,0,3680,0,0
8.85714285714286,"1",6320,0,3680,0,0
9,"1",6320,0,3680,0,0
9.14285714285714,"1",6320,0,3680,0,0
9.28571428571428,"1",6320,0,3680,0,0
9.42857142857143,"1",6320,0,3680,0,0
9.57142857142857,"1",6320,0,3680,0,0
9.71428571428571,"1",6320,0,3680,0,0
9.85714285714286,"1",6320,0,3680,0,0
10,"1",6320,0,3680,0,0
