"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9985,8,7,5,1
0.285714285714286,"1",9984,5,11,1,0
0.428571428571429,"1",9983,4,13,1,1
0.571428571428571,"1",9976,9,15,7,5
0.714285714285714,"1",9973,6,21,3,1
0.857142857142857,"1",9972,4,24,1,0
1,"1",9967,7,26,5,2
1.14285714285714,"1",9963,9,28,4,2
1.28571428571429,"1",9956,13,31,7,2
1.42857142857143,"1",9951,14,35,5,1
1.57142857142857,"1",9946,13,41,5,0
1.71428571428571,"1",9942,10,48,4,1
1.85714285714286,"1",9936,10,54,6,3
2,"1",9934,8,58,2,1
2.14285714285714,"1",9925,13,62,9,4
2.28571428571429,"1",9919,15,66,6,2
2.42857142857143,"1",9912,18,70,7,2
2.57142857142857,"1",9905,20,75,7,2
2.71428571428571,"1",9894,23,83,11,2
2.85714285714286,"1",9880,28,92,14,6
3,"1",9859,37,104,21,20
3.14285714285714,"1",9828,57,115,31,11
3.28571428571429,"1",9808,49,143,20,6
3.42857142857143,"1",9781,48,171,27,7
3.57142857142857,"1",9746,57,197,35,19
3.71428571428571,"1",9709,71,220,37,21
3.85714285714286,"1",9666,86,248,43,18
4,"1",9610,99,291,56,17
4.14285714285714,"1",9562,113,325,48,7
4.28571428571429,"1",9491,137,372,71,25
4.42857142857143,"1",9418,160,422,73,35
4.57142857142857,"1",9322,186,492,96,35
4.71428571428571,"1",9226,205,569,96,19
4.85714285714286,"1",9117,232,651,109,51
5,"1",8987,266,747,130,69
5.14285714285714,"1",8929,235,836,58,29
5.28571428571429,"1",8880,193,927,49,41
5.42857142857143,"1",8841,165,994,39,23
5.57142857142857,"1",8798,136,1066,43,24
5.71428571428571,"1",8761,134,1105,37,16
5.85714285714286,"1",8735,103,1162,26,9
6,"1",8706,92,1202,29,10
6.14285714285714,"1",8673,92,1235,33,12
6.28571428571429,"1",8651,86,1263,22,10
6.42857142857143,"1",8631,74,1295,20,7
6.57142857142857,"1",8611,67,1322,20,10
6.71428571428571,"1",8589,65,1346,22,8
6.85714285714286,"1",8578,52,1370,11,6
7,"1",8572,40,1388,6,2
7.14285714285714,"1",8561,35,1404,11,6
7.28571428571429,"1",8554,32,1414,7,3
7.42857142857143,"1",8544,30,1426,10,10
7.57142857142857,"1",8540,18,1442,4,2
7.71428571428571,"1",8540,10,1450,0,0
7.85714285714286,"1",8536,7,1457,4,5
8,"1",8536,5,1459,0,0
8.14285714285714,"1",8535,4,1461,1,0
8.28571428571428,"1",8535,2,1463,0,0
8.42857142857143,"1",8535,1,1464,0,0
8.57142857142857,"1",8535,0,1465,0,0
8.71428571428571,"1",8535,0,1465,0,0
8.85714285714286,"1",8535,0,1465,0,0
9,"1",8535,0,1465,0,0
9.14285714285714,"1",8535,0,1465,0,0
9.28571428571428,"1",8535,0,1465,0,0
9.42857142857143,"1",8535,0,1465,0,0
9.57142857142857,"1",8535,0,1465,0,0
9.71428571428571,"1",8535,0,1465,0,0
9.85714285714286,"1",8535,0,1465,0,0
10,"1",8535,0,1465,0,0
