"task_id","best_run","B0_hat","sigma_beta_hat","filter_seed","Np","final_pf_logLik","n_filter_times","estimate_semantics","conditioning","parameter_uncertainty_integrated","sampled_trajectory_used_for_metrics"
48,4,4.38190651244374,0.247616822144682,68260900,50000,-183.856971897888,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
49,8,3.19182668314167,0.312826667554434,69260900,50000,-165.108529541757,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
50,7,4.85806798449719,0.172530286625397,70260900,50000,-199.786007746172,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
51,7,4.18876514525306,0.267541023223538,71260900,50000,-206.099667799493,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
52,6,5.60562431238314,0.333055110647481,72260900,50000,-202.425332398573,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
53,7,3.467469140148,0.253815923019533,73260900,50000,-193.881885064666,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
54,3,4.84815308306351,0.333684810062054,74260900,50000,-197.450944968729,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
55,4,3.15137713721574,0.199266787535533,75260900,50000,-175.177256785209,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
56,7,4.49479577841289,0.249703377217698,76260900,50000,-188.432247690404,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
57,9,2.96657349176721,0.150762626516729,77260900,50000,-128.945737644223,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
58,4,3.02258149811622,0.319663897180349,78260900,50000,-188.141677741901,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
59,5,3.54858266701584,0.244785141967417,79260900,50000,-197.862985925367,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
60,3,4.59775336761294,0.209522099751791,80260900,50000,-206.998190605805,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
61,5,3.86888974334327,0.258515323689224,81260900,50000,-207.532792171875,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
62,5,3.96255925190926,0.316255083804518,82260900,50000,-192.801152950455,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
63,6,4.39612622322308,0.289485598234757,83260900,50000,-189.628585198168,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
64,9,3.69575370127629,0.164107587815922,84260900,50000,-189.086255855223,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
65,9,3.81050745897594,0.330493200713744,85260900,50000,-200.172942202762,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
66,1,4.51954029389844,0.270301928742872,86260900,50000,-208.86118547608,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
67,9,4.41247351339493,0.247563638602665,87260900,50000,-187.854107996305,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
68,6,4.76447391511577,0.308054568076765,88260900,50000,-192.522911717247,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
69,2,3.25196328606292,0.43293212418848,89260900,50000,-177.982733525538,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
70,9,3.69447801797349,0.321583785874902,90260900,50000,-183.301054190861,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
71,3,4.29276664792338,0.281972497363177,91260900,50000,-208.331065574755,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
72,5,4.21323050820464,0.290825202830218,92260900,50000,-186.639753702113,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
73,8,4.18578325237821,0.19893442474471,93260900,50000,-192.690948259444,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
74,2,3.99076698719519,0.250022956617175,94260900,50000,-200.249550730588,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
75,9,3.42544950505614,0.276287168925441,95260900,50000,-182.685115593668,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
76,1,4.61381729898002,0.283431182719256,96260900,50000,-212.908601504414,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
77,2,4.16004505755072,0.269679158394244,97260900,50000,-192.752767213311,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
78,8,3.39408674300312,0.250893499834074,98260900,50000,-207.167211168225,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
79,8,4.51684729059142,0.26679277618158,99260900,50000,-199.15419133186,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
80,8,3.94028995204483,0.290404456855346,100260900,50000,-189.714234791148,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
81,3,4.28659588428749,0.255287292724649,101260900,50000,-193.477238113987,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
82,2,3.99138287711575,0.402115269716415,102260900,50000,-188.033538599236,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
83,1,3.84535031773376,0.40928458129181,103260900,50000,-191.068413690157,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
84,4,3.11847165735148,0.287633491877436,104260900,50000,-168.91595204228,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
85,1,3.93402612894668,0.229918569747754,105260900,50000,-196.359010059044,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
86,4,4.17799431084375,0.360554298662853,106260900,50000,-147.894607045368,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
87,9,4.78166169454878,0.174123013722542,107260900,50000,-209.932849905852,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
88,2,4.21013674426387,0.238014673792874,108260900,50000,-208.790310515671,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
89,7,3.4534937439549,0.305249892882986,109260900,50000,-184.233095035259,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
90,6,4.43329782127382,0.198011931151467,110260900,50000,-191.961799013185,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
91,8,4.11467040384037,0.252978235969706,111260900,50000,-185.09270037639,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
92,4,3.87174406294678,0.364004254606102,112260900,50000,-190.682690402149,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
93,4,4.29207490531253,0.234045912413175,113260900,50000,-196.104810809471,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
94,2,4.47869493465805,0.45665257535177,114260900,50000,-212.304276583302,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
95,3,4.25205954292908,0.203145972095158,115260900,50000,-187.42024334398,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
96,3,3.78508017396365,0.326791676992399,116260900,50000,-188.643302076684,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
97,3,4.88706673743313,0.280423049294689,117260900,50000,-204.13731372972,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
98,1,3.36230542616314,0.39635456982773,118260900,50000,-173.792793212285,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
99,4,2.9198412253976,0.275750441192143,119260900,50000,-181.558669362643,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
100,1,4.39379954156373,0.152049552998714,120260900,50000,-198.77903761825,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
101,3,3.31518101492568,0.278212159688984,121260900,50000,-182.78057258808,70,"particle_filtering_mean","Y_1:n",FALSE,FALSE
