"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,3,2,-196.005971684721,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,3,3,-196.008322085465,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,3,4,-195.932821055364,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,3,5,-195.996484918517,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,4,1,-196.00265158463,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,4,2,-196.007307098164,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,4,3,-196.011992713467,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,4,4,-195.981577652265,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,4,5,-195.958640579792,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,5,1,-196.021338990433,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,5,2,-196.01679502976,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,5,3,-196.009959202557,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,5,4,-195.995551990799,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,5,5,-195.960289504767,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,6,1,-195.98268660382,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,6,2,-195.98591724456,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,6,3,-195.977398793021,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,6,4,-196.010378416941,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,6,5,-195.974350420283,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,1,-195.979320267659,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,2,-196.011441964541,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,3,-196.04197491943,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,4,-195.922659215026,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,7,5,-195.909118731011,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,8,1,-195.959654374862,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,8,2,-195.991373212758,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,8,3,-196.030798790494,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,8,4,-195.975218292379,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,8,5,-195.945143080921,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,9,1,-195.976106354324,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,9,2,-195.90343972845,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,9,3,-195.978491968249,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,9,4,-196.041647342208,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","gamma_noise",600,9,5,-195.981209563511,"success"
