"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9986,7,7,4,2
0.285714285714286,"1",9983,7,10,3,0
0.428571428571429,"1",9981,6,13,2,1
0.571428571428571,"1",9977,6,17,4,2
0.714285714285714,"1",9974,6,20,3,3
0.857142857142857,"1",9969,10,21,5,2
1,"1",9967,9,24,2,1
1.14285714285714,"1",9960,14,26,7,3
1.28571428571429,"1",9957,11,32,3,0
1.42857142857143,"1",9952,12,36,5,0
1.57142857142857,"1",9941,20,39,11,6
1.71428571428571,"1",9924,28,48,17,10
1.85714285714286,"1",9909,29,62,15,14
2,"1",9891,39,70,18,6
2.14285714285714,"1",9868,48,84,23,10
2.28571428571429,"1",9841,53,106,27,13
2.42857142857143,"1",9812,56,132,29,21
2.57142857142857,"1",9783,57,160,29,12
2.71428571428571,"1",9743,75,182,40,30
2.85714285714286,"1",9701,81,218,42,9
3,"1",9671,77,252,30,9
3.14285714285714,"1",9625,97,278,46,19
3.28571428571429,"1",9575,108,317,50,23
3.42857142857143,"1",9502,134,364,73,19
3.57142857142857,"1",9424,157,419,78,53
3.71428571428571,"1",9334,181,485,90,64
3.85714285714286,"1",9220,218,562,114,83
4,"1",9114,231,655,106,45
4.14285714285714,"1",8986,258,756,128,71
4.28571428571429,"1",8869,262,869,117,42
4.42857142857143,"1",8762,273,965,107,74
4.57142857142857,"1",8623,270,1107,139,48
4.71428571428571,"1",8505,271,1224,118,42
4.85714285714286,"1",8364,287,1349,141,63
5,"1",8235,303,1462,129,85
5.14285714285714,"1",8168,245,1587,67,30
5.28571428571429,"1",8124,201,1675,44,34
5.42857142857143,"1",8081,179,1740,43,19
5.57142857142857,"1",8034,145,1821,47,11
5.71428571428571,"1",8000,129,1871,34,24
5.85714285714286,"1",7977,101,1922,23,9
6,"1",7954,86,1960,23,10
6.14285714285714,"1",7934,79,1987,20,7
6.28571428571429,"1",7926,53,2021,8,4
6.42857142857143,"1",7918,40,2042,8,7
6.57142857142857,"1",7911,33,2056,7,6
6.71428571428571,"1",7899,30,2071,12,8
6.85714285714286,"1",7893,26,2081,6,1
7,"1",7887,19,2094,6,3
7.14285714285714,"1",7880,17,2103,7,8
7.28571428571429,"1",7877,9,2114,3,1
7.42857142857143,"1",7873,9,2118,4,2
7.57142857142857,"1",7870,8,2122,3,2
7.71428571428571,"1",7868,7,2125,2,1
7.85714285714286,"1",7866,5,2129,2,1
8,"1",7864,3,2133,2,0
8.14285714285714,"1",7864,3,2133,0,0
8.28571428571428,"1",7864,2,2134,0,0
8.42857142857143,"1",7862,3,2135,2,1
8.57142857142857,"1",7862,3,2135,0,0
8.71428571428571,"1",7861,2,2137,1,0
8.85714285714286,"1",7861,0,2139,0,0
9,"1",7861,0,2139,0,0
9.14285714285714,"1",7861,0,2139,0,0
9.28571428571428,"1",7861,0,2139,0,0
9.42857142857143,"1",7861,0,2139,0,0
9.57142857142857,"1",7861,0,2139,0,0
9.71428571428571,"1",7861,0,2139,0,0
9.85714285714286,"1",7861,0,2139,0,0
10,"1",7861,0,2139,0,0
