"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9985,8,7,5,0
0.285714285714286,"1",9978,11,11,7,3
0.428571428571429,"1",9972,14,14,6,3
0.571428571428571,"1",9968,11,21,4,0
0.714285714285714,"1",9963,10,27,5,1
0.857142857142857,"1",9955,14,31,8,4
1,"1",9946,18,36,9,6
1.14285714285714,"1",9932,25,43,14,6
1.28571428571429,"1",9924,24,52,8,5
1.42857142857143,"1",9904,30,66,20,4
1.57142857142857,"1",9886,35,79,18,13
1.71428571428571,"1",9857,43,100,29,11
1.85714285714286,"1",9825,55,120,32,15
2,"1",9803,57,140,22,6
2.14285714285714,"1",9775,62,163,28,9
2.28571428571429,"1",9737,80,183,38,8
2.42857142857143,"1",9690,90,220,47,38
2.57142857142857,"1",9633,114,253,57,18
2.71428571428571,"1",9558,137,305,75,78
2.85714285714286,"1",9476,160,364,82,60
3,"1",9399,162,439,77,37
3.14285714285714,"1",9316,185,499,83,61
3.28571428571429,"1",9222,203,575,94,31
3.42857142857143,"1",9118,221,661,104,39
3.57142857142857,"1",8993,250,757,125,56
3.71428571428571,"1",8836,305,859,157,83
3.85714285714286,"1",8686,321,993,150,73
4,"1",8551,316,1133,135,56
4.14285714285714,"1",8411,315,1274,140,58
4.28571428571429,"1",8257,328,1415,154,66
4.42857142857143,"1",8101,346,1553,156,38
4.57142857142857,"1",7927,371,1702,174,125
4.71428571428571,"1",7726,402,1872,201,104
4.85714285714286,"1",7575,392,2033,151,106
5,"1",7399,397,2204,176,109
5.14285714285714,"1",7321,329,2350,78,42
5.28571428571429,"1",7266,256,2478,55,26
5.42857142857143,"1",7207,197,2596,59,37
5.57142857142857,"1",7165,167,2668,42,23
5.71428571428571,"1",7147,110,2743,18,8
5.85714285714286,"1",7122,97,2781,25,16
6,"1",7105,77,2818,17,9
6.14285714285714,"1",7093,62,2845,12,11
6.28571428571429,"1",7081,52,2867,12,3
6.42857142857143,"1",7071,43,2886,10,6
6.57142857142857,"1",7065,36,2899,6,6
6.71428571428571,"1",7059,30,2911,6,3
6.85714285714286,"1",7054,22,2924,5,2
7,"1",7050,19,2931,4,4
7.14285714285714,"1",7048,12,2940,2,0
7.28571428571429,"1",7043,14,2943,5,1
7.42857142857143,"1",7030,21,2949,13,4
7.57142857142857,"1",7027,15,2958,3,3
7.71428571428571,"1",7024,13,2963,3,0
7.85714285714286,"1",7023,9,2968,1,0
8,"1",7020,10,2970,3,0
8.14285714285714,"1",7020,7,2973,0,0
8.28571428571428,"1",7019,5,2976,1,0
8.42857142857143,"1",7019,5,2976,0,0
8.57142857142857,"1",7019,3,2978,0,0
8.71428571428571,"1",7018,3,2979,1,0
8.85714285714286,"1",7018,2,2980,0,0
9,"1",7017,3,2980,1,0
9.14285714285714,"1",7015,1,2984,2,2
9.28571428571428,"1",7015,1,2984,0,0
9.42857142857143,"1",7015,1,2984,0,0
9.57142857142857,"1",7015,1,2984,0,0
9.71428571428571,"1",7015,1,2984,0,0
9.85714285714286,"1",7015,1,2984,0,0
10,"1",7015,1,2984,0,0
