"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9985,11,4,5,5
0.285714285714286,"1",9979,13,8,6,2
0.428571428571429,"1",9973,11,16,6,8
0.571428571428571,"1",9970,8,22,3,2
0.714285714285714,"1",9966,7,27,4,4
0.857142857142857,"1",9965,5,30,1,0
1,"1",9955,13,32,10,5
1.14285714285714,"1",9945,18,37,10,10
1.28571428571429,"1",9936,21,43,9,11
1.42857142857143,"1",9922,29,49,14,5
1.57142857142857,"1",9908,27,65,14,6
1.71428571428571,"1",9897,27,76,11,0
1.85714285714286,"1",9882,30,88,15,5
2,"1",9875,22,103,7,3
2.14285714285714,"1",9873,18,109,2,0
2.28571428571429,"1",9855,26,119,18,7
2.42857142857143,"1",9846,27,127,9,4
2.57142857142857,"1",9826,39,135,20,7
2.71428571428571,"1",9795,52,153,31,9
2.85714285714286,"1",9769,55,176,26,11
3,"1",9710,91,199,59,25
3.14285714285714,"1",9673,88,239,37,6
3.28571428571429,"1",9622,100,278,51,11
3.42857142857143,"1",9543,132,325,79,45
3.57142857142857,"1",9453,148,399,90,19
3.71428571428571,"1",9359,184,457,94,73
3.85714285714286,"1",9242,210,548,117,80
4,"1",9119,244,637,123,77
4.14285714285714,"1",8972,281,747,147,66
4.28571428571429,"1",8837,298,865,135,65
4.42857142857143,"1",8677,333,990,160,112
4.57142857142857,"1",8506,376,1118,171,117
4.71428571428571,"1",8285,422,1293,221,87
4.85714285714286,"1",8108,431,1461,177,127
5,"1",7898,469,1633,210,58
5.14285714285714,"1",7803,404,1793,95,37
5.28571428571429,"1",7720,323,1957,83,36
5.42857142857143,"1",7673,240,2087,47,37
5.57142857142857,"1",7631,193,2176,42,15
5.71428571428571,"1",7598,143,2259,33,9
5.85714285714286,"1",7562,126,2312,36,31
6,"1",7545,99,2356,17,4
6.14285714285714,"1",7521,77,2402,24,11
6.28571428571429,"1",7508,59,2433,13,9
6.42857142857143,"1",7500,44,2456,8,3
6.57142857142857,"1",7494,29,2477,6,1
6.71428571428571,"1",7483,27,2490,11,7
6.85714285714286,"1",7477,20,2503,6,8
7,"1",7474,17,2509,3,4
7.14285714285714,"1",7473,12,2515,1,1
7.28571428571429,"1",7472,6,2522,1,1
7.42857142857143,"1",7471,4,2525,1,0
7.57142857142857,"1",7469,6,2525,2,0
7.71428571428571,"1",7469,6,2525,0,0
7.85714285714286,"1",7468,4,2528,1,0
8,"1",7467,5,2528,1,0
8.14285714285714,"1",7467,4,2529,0,0
8.28571428571428,"1",7464,6,2530,3,0
8.42857142857143,"1",7462,6,2532,2,3
8.57142857142857,"1",7460,4,2536,2,0
8.71428571428571,"1",7458,3,2539,2,0
8.85714285714286,"1",7458,0,2542,0,0
9,"1",7458,0,2542,0,0
9.14285714285714,"1",7458,0,2542,0,0
9.28571428571428,"1",7458,0,2542,0,0
9.42857142857143,"1",7458,0,2542,0,0
9.57142857142857,"1",7458,0,2542,0,0
9.71428571428571,"1",7458,0,2542,0,0
9.85714285714286,"1",7458,0,2542,0,0
10,"1",7458,0,2542,0,0
