"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9985,8,7,5,6
0.285714285714286,"1",9985,7,8,0,0
0.428571428571429,"1",9981,11,8,4,2
0.571428571428571,"1",9978,9,13,3,1
0.714285714285714,"1",9974,8,18,4,4
0.857142857142857,"1",9964,17,19,10,6
1,"1",9957,15,28,7,1
1.14285714285714,"1",9940,24,36,17,0
1.28571428571429,"1",9927,25,48,13,6
1.42857142857143,"1",9918,24,58,9,7
1.57142857142857,"1",9899,29,72,19,15
1.71428571428571,"1",9885,33,82,14,3
1.85714285714286,"1",9868,30,102,17,18
2,"1",9848,36,116,20,7
2.14285714285714,"1",9821,45,134,27,11
2.28571428571429,"1",9795,51,154,26,4
2.42857142857143,"1",9766,59,175,29,9
2.57142857142857,"1",9737,58,205,29,12
2.71428571428571,"1",9710,55,235,27,19
2.85714285714286,"1",9685,55,260,25,20
3,"1",9655,61,284,30,18
3.14285714285714,"1",9617,71,312,38,7
3.28571428571429,"1",9576,77,347,41,22
3.42857142857143,"1",9520,94,386,56,13
3.57142857142857,"1",9473,97,430,47,15
3.71428571428571,"1",9407,111,482,66,37
3.85714285714286,"1",9352,114,534,55,24
4,"1",9306,109,585,46,31
4.14285714285714,"1",9251,116,633,55,56
4.28571428571429,"1",9198,119,683,53,24
4.42857142857143,"1",9134,134,732,64,26
4.57142857142857,"1",9047,172,781,87,36
4.71428571428571,"1",8933,209,858,114,77
4.85714285714286,"1",8816,229,955,117,66
5,"1",8702,246,1052,114,53
5.14285714285714,"1",8647,210,1143,55,37
5.28571428571429,"1",8588,185,1227,59,30
5.42857142857143,"1",8542,147,1311,46,24
5.57142857142857,"1",8522,115,1363,20,8
5.71428571428571,"1",8498,98,1404,24,14
5.85714285714286,"1",8461,94,1445,37,19
6,"1",8439,76,1485,22,12
6.14285714285714,"1",8427,50,1523,12,5
6.28571428571429,"1",8413,45,1542,14,13
6.42857142857143,"1",8407,37,1556,6,3
6.57142857142857,"1",8394,37,1569,13,9
6.71428571428571,"1",8384,41,1575,10,11
6.85714285714286,"1",8376,24,1600,8,3
7,"1",8370,19,1611,6,0
7.14285714285714,"1",8367,19,1614,3,1
7.28571428571429,"1",8363,12,1625,4,3
7.42857142857143,"1",8358,12,1630,5,2
7.57142857142857,"1",8356,12,1632,2,0
7.71428571428571,"1",8354,11,1635,2,2
7.85714285714286,"1",8353,9,1638,1,0
8,"1",8351,10,1639,2,0
8.14285714285714,"1",8351,9,1640,0,0
8.28571428571428,"1",8348,8,1644,3,0
8.42857142857143,"1",8345,9,1646,3,1
8.57142857142857,"1",8343,7,1650,2,0
8.71428571428571,"1",8340,7,1653,3,0
8.85714285714286,"1",8337,5,1658,3,2
9,"1",8337,4,1659,0,0
9.14285714285714,"1",8337,4,1659,0,0
9.28571428571428,"1",8337,3,1660,0,0
9.42857142857143,"1",8336,3,1661,1,0
9.57142857142857,"1",8336,3,1661,0,0
9.71428571428571,"1",8336,1,1663,0,0
9.85714285714286,"1",8336,1,1663,0,0
10,"1",8336,1,1663,0,0
