"task_id","model","RSS","RMSE","mean_error","AOB","mean_error_before_5","mean_error_after_5"
1,"gamma_noise",13.211269200899,0.434433443873398,0.0971992767049521,0.0971992767049521,-0.135557347935542,0.317024977754307
2,"gamma_noise",13.5458460999104,0.439900087680801,0.135937843408287,0.135937843408287,0.212035928712167,0.0640674295101789
3,"gamma_noise",54.5575039530657,0.882832324745319,-0.305670693752435,0.305670693752435,-0.350160830788195,-0.26365223099644
4,"gamma_noise",22.3491632303272,0.565043149178225,0.148609598585357,0.148609598585357,0.192762101205543,0.106910012777404
5,"gamma_noise",43.484563780589,0.788167529151267,-0.166399854992981,0.166399854992981,0.238540704643367,-0.548843716871754
6,"gamma_noise",24.0655646268283,0.586339304825509,-0.215554506534194,0.215554506534194,-0.602428712387401,0.149826687882724
7,"gamma_noise",53.2438167337139,0.872138723678046,0.651862744740287,0.651862744740287,0.433870314429891,0.857744484477883
8,"gamma_noise",70.1319547490612,1.00094209015494,0.440184623076574,0.440184623076574,-0.159215796522701,1.00628501936478
9,"gamma_noise",31.8175046065105,0.674192687659104,0.188560595069944,0.188560595069944,0.387039758014884,0.00110805228861152
10,"gamma_noise",38.3080648646849,0.73976892979869,-0.406501400491779,0.406501400491779,-0.753642286485681,-0.0786461192753167
11,"gamma_noise",29.7024314723082,0.651398840653253,0.473713575426809,0.473713575426809,0.256317961696306,0.679031655061172
12,"gamma_noise",30.1084367457008,0.655835745395585,-0.082112788191816,0.082112788191816,-0.0204100078453697,-0.140387636296793
13,"gamma_noise",51.330111586757,0.856321965374148,0.58112239472372,0.58112239472372,0.150725008390701,0.987608815149349
14,"gamma_noise",26.141594950754,0.611106665353392,0.174436436830596,0.174436436830596,-0.197545273183524,0.525752496288376
15,"gamma_noise",23.796174734859,0.583048328490125,0.251099574869508,0.251099574869508,0.211086024282818,0.288890150423603
16,"gamma_noise",17.5324500343074,0.500463357218765,0.147960771135953,0.147960771135953,-0.0856691580007444,0.368611259765057
17,"gamma_noise",40.6225171030155,0.76178846991814,-0.469289307912926,0.469289307912926,-0.650755533346015,-0.297904539448342
18,"gamma_noise",24.2740119030091,0.588873160039084,-0.205361339732286,0.205361339732286,-0.271936869460124,-0.142484450544883
19,"gamma_noise",20.3879720752743,0.539682076719702,-0.134297331471477,0.134297331471477,0.068783281142941,-0.326095687829538
20,"gamma_noise",9.9818196606206,0.377620740589221,-0.049030310861193,0.049030310861193,-0.058827585650122,-0.0397773291160933
21,"gamma_noise",42.7811437358283,0.781766714708498,-0.360511314113894,0.360511314113894,0.0942769167603464,-0.790033532161788
22,"gamma_noise",11.7922461334626,0.410439592448714,-0.128866398674516,0.128866398674516,-0.0347347500368897,-0.217768511276718
23,"gamma_noise",17.8638762337831,0.505171487626912,0.081209579225843,0.081209579225843,-0.013150975113416,0.170327880546254
24,"gamma_noise",14.4229944324129,0.453919351433598,-0.0476997538660314,0.0476997538660314,-0.367440960799799,0.254278052682527
25,"gamma_noise",17.2230134237421,0.49602726629753,0.026062028025875,0.026062028025875,0.0216089645502829,0.0302676990861564
26,"gamma_noise",9.4450143794242,0.367326526198309,-0.0196862833831152,0.0196862833831152,-0.13515282044807,0.0893654460671194
27,"gamma_noise",24.4957098522387,0.591556178376018,0.191076696095077,0.191076696095077,-0.166814350422012,0.529084906694551
28,"gamma_noise",27.6810537943408,0.628843085064501,0.0163581178584468,0.0163581178584468,0.223727826370113,-0.179491051291461
29,"gamma_noise",49.8856556891299,0.844187315783901,0.0286480877913429,0.0286480877913429,-0.596975005355119,0.619514342429668
30,"gamma_noise",51.973486073757,0.861671847330666,0.34251820471601,0.34251820471601,0.0301363406167592,0.637545520809748
31,"gamma_noise",58.4392829578999,0.913699567362582,-0.458660218344286,0.458660218344286,0.0211039035059176,-0.911770777869479
32,"gamma_noise",15.6349420047034,0.472605876341911,0.0358139977670205,0.0358139977670205,-0.05875101942832,0.125125402895953
33,"gamma_noise",13.174649541107,0.433830933842518,0.10279969872844,0.10279969872844,0.0320770711741111,0.169593291418639
