"task_id","model","best_run","best_logLik","second_best_logLik","logLik_gap","n_successful_starts"
149,"constant_B",4,-128.062148964376,-128.074251601037,0.012102636660984,6
150,"constant_B",3,-214.832037340341,-215.890474113439,1.05843677309801,6
151,"constant_B",6,-206.092096951828,-206.099053128485,0.00695617665698478,6
152,"constant_B",5,-197.473268861637,-197.574120650014,0.100851788377014,6
153,"constant_B",1,-205.004706065452,-206.058319783753,1.05361371830099,6
154,"constant_B",3,-213.697094326143,-213.733193025021,0.0360986988779928,6
155,"constant_B",6,-228.336949016843,-230.417728103842,2.080779086999,6
156,"constant_B",6,-175.355266709451,-175.392825694516,0.0375589850650044,6
157,"constant_B",4,-228.740625928374,-229.083747583128,0.343121654754015,6
158,"constant_B",6,-221.792592673164,-223.428992523623,1.63639985045901,6
159,"constant_B",1,-215.395786422403,-215.40105489782,0.00526847541698316,6
160,"constant_B",6,-219.154369269234,-219.479908786907,0.325539517673008,6
161,"constant_B",6,-218.062366020064,-218.087752679538,0.0253866594740089,6
162,"constant_B",5,-221.736467508666,-221.871133249358,0.134665740691986,6
163,"constant_B",1,-213.436295508541,-214.241417373662,0.805121865120981,6
164,"constant_B",5,-205.889938841499,-206.2674562385,0.377517397000986,6
