"run","fixed_B0","start_sigma_beta","sigma_beta_hat","logLik","logLik_se"
1,4,0.1,0.173824089088246,-197.764385495718,0.0516515578812035
2,4,0.3,0.196924467915004,-197.70057242405,0.0499183793500172
3,4,0.45,0.244665156620345,-197.769206691906,0.0606148501709568
