"week","B_filtered_mean","B_true"
0.142857142857143,4.53156448443928,4
0.285714285714286,4.39498465508016,4
0.428571428571429,4.53613588202061,4
0.571428571428571,4.7711213255062,4
0.714285714285714,4.43587343178429,4
0.857142857142857,4.75480815146848,4
1,4.72499314334303,4
1.14285714285714,4.5741538919526,4
1.28571428571429,4.10241630138913,4
1.42857142857143,4.62645283486161,4
1.57142857142857,4.57914191997515,4
1.71428571428571,3.9889898079994,4
1.85714285714286,4.42114709656181,4
2,4.09360866750967,4
2.14285714285714,4.10864297136369,4
2.28571428571429,3.66057017605968,4
2.42857142857143,3.58670477773842,4
2.57142857142857,3.9630692915489,4
2.71428571428571,3.89522733050325,4
2.85714285714286,4.47941438155654,4
3,4.32528063008406,4
3.14285714285714,4.39964750122276,4
3.28571428571429,4.20580560900462,4
3.42857142857143,3.79766378005183,4
3.57142857142857,4.07147832481747,4
3.71428571428571,3.87482619417311,4
3.85714285714286,3.7464654039819,4
4,3.74869879851474,4
4.14285714285714,3.3338576255047,4
4.28571428571429,3.69421349527092,4
4.42857142857143,3.99084484938584,4
4.57142857142857,4.20731708220328,4
4.71428571428571,4.01967123300885,4
4.85714285714286,3.99496168153206,4
5,3.97696807156639,2
5.14285714285714,3.46246758553613,2
5.28571428571429,3.62553506414586,2
5.42857142857143,3.11397353181717,2
5.57142857142857,2.74098984092623,2
5.71428571428571,2.68926456912254,2
5.85714285714286,2.78550940928581,2
6,2.63901420621734,2
6.14285714285714,2.55100775824797,2
6.28571428571429,2.4517220859375,2
6.42857142857143,2.51889124891003,2
6.57142857142857,2.33884479741069,2
6.71428571428571,2.15468302216975,2
6.85714285714286,2.02984892443314,2
7,2.10485866473224,2
7.14285714285714,2.016850612572,2
7.28571428571429,2.13719350248829,2
7.42857142857143,2.27305269951529,2
7.57142857142857,2.18225424523087,2
7.71428571428571,2.11906581080968,2
7.85714285714286,2.07801236326211,2
8,2.04762613962182,2
8.14285714285714,2.0277663620105,2
8.28571428571428,2.01571333216789,2
8.42857142857143,2.0064272396925,2
8.57142857142857,2.00147720437082,2
8.71428571428571,1.99848290963443,2
8.85714285714286,1.99578468799446,2
9,1.9926340509021,2
9.14285714285714,1.99160139985479,2
9.28571428571428,1.98973767830218,2
9.42857142857143,1.98857708348645,2
9.57142857142857,1.98753550195971,2
9.71428571428571,1.98686871518784,2
9.85714285714286,1.9874259168279,2
10,1.98775685358049,2
