"run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se"
1,2,0.1,3.9892879806726,0.0025315373551973,-250.62490465766,0.0574084459906223
2,4,0.1,3.96735074887398,0.00467956274789883,-250.711164948828,0.0273550722795528
3,6,0.1,3.98205356975925,0.00253042528458027,-250.625814529192,0.0370691310095671
4,2,0.3,3.97366283618708,0.000632687342546469,-250.640992515039,0.0338194611340478
5,4,0.3,4.02568858451446,0.00152441097005324,-250.750026186607,0.0224129579066563
6,6,0.3,3.99907931042066,0.00321530478889825,-250.747269707198,0.042730219167052
7,2,0.45,3.98883174962816,0.00118136006684608,-250.654638527747,0.0414142387910749
8,4,0.45,3.93880789158835,0.000453930384945606,-250.784339024774,0.0337324499648973
9,6,0.45,3.98498369710152,0.00196060731582761,-250.696508324004,0.0459922693337745
