"week","B_filtered_mean","B_true"
0.142857142857143,4.00044703315903,4
0.285714285714286,3.92396899600975,4
0.428571428571429,4.04588947022603,4
0.571428571428571,4.26824689379579,4
0.714285714285714,4.07461088499523,4
0.857142857142857,4.40438807766443,4
1,4.46540467529582,4
1.14285714285714,4.40782339701728,4
1.28571428571429,4.0394424520052,4
1.42857142857143,4.52804802599176,4
1.57142857142857,4.52253034949344,4
1.71428571428571,4.01349197786721,4
1.85714285714286,4.4026659459648,4
2,4.11400727872463,4
2.14285714285714,4.12327122200032,4
2.28571428571429,3.70889758351999,4
2.42857142857143,3.62980938798953,4
2.57142857142857,3.95439913604417,4
2.71428571428571,3.89588273100084,4
2.85714285714286,4.41760191890808,4
3,4.2955792756267,4
3.14285714285714,4.37659942271505,4
3.28571428571429,4.20975935129997,4
3.42857142857143,3.84154556882087,4
3.57142857142857,4.07918543941649,4
3.71428571428571,3.90129286959867,4
3.85714285714286,3.77693025746199,4
4,3.77198252950621,4
4.14285714285714,3.38663862776589,4
4.28571428571429,3.69945974924774,4
4.42857142857143,3.96428135269283,4
4.57142857142857,4.16281565104499,4
4.71428571428571,4.00198478222351,4
4.85714285714286,3.98731044823147,4
5,3.97260320862047,2
5.14285714285714,3.51425553502072,2
5.28571428571429,3.64765979070638,2
5.42857142857143,3.18473780248165,2
5.57142857142857,2.8385186784422,2
5.71428571428571,2.77230064252256,2
5.85714285714286,2.8407502326267,2
6,2.6930956059136,2
6.14285714285714,2.60239688199779,2
6.28571428571429,2.50568919395252,2
6.42857142857143,2.557219099488,2
6.57142857142857,2.39620073614828,2
6.71428571428571,2.22326558061587,2
6.85714285714286,2.10812350093202,2
7,2.17321745054973,2
7.14285714285714,2.08936339450293,2
7.28571428571429,2.19371600168349,2
7.42857142857143,2.31248298381073,2
7.57142857142857,2.22842910032709,2
7.71428571428571,2.17288097260179,2
7.85714285714286,2.13591899527096,2
8,2.11065952175652,2
8.14285714285714,2.09544711868749,2
8.28571428571428,2.08358477204176,2
8.42857142857143,2.0764668804886,2
8.57142857142857,2.07195331830917,2
8.71428571428571,2.06853951678763,2
8.85714285714286,2.06612119139378,2
9,2.06344409793033,2
9.14285714285714,2.06222132698303,2
9.28571428571428,2.06030995131472,2
9.42857142857143,2.05914794632162,2
9.57142857142857,2.05851543413081,2
9.71428571428571,2.05848753071599,2
9.85714285714286,2.05898500361153,2
10,2.05982488006466,2
