"run","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se"
1,2,0.1,4.5139710513933,0.185551754505938,-197.549493088807,0.0380740561393165
2,4,0.1,4.54132692915903,0.178650127370141,-197.592401336625,0.0892883706125751
3,6,0.1,4.44022702826315,0.216971206268138,-197.537767352516,0.0560096839457257
4,2,0.3,4.59885091039721,0.245881614670541,-197.539171735295,0.0254738456324508
5,4,0.3,4.5113128904706,0.203830576567593,-197.516737669282,0.0724218470235407
6,6,0.3,4.5277512561385,0.214331295851338,-197.482102941888,0.0275546287863866
7,2,0.45,4.53652341367926,0.220573426575435,-197.370783406706,0.0461814172279313
8,4,0.45,4.2947991333641,0.185391233220083,-197.484235057663,0.0616254750971109
9,6,0.45,4.39459680072024,0.232557880722682,-197.508151649784,0.0713372511485845
