"week","gamma_infectious","true_infectious"
0.142857142857143,13.8091802293386,15
0.285714285714286,17.2726594240849,23
0.428571428571429,25.1297126344531,32
0.571428571428571,26.9099736434924,38
0.714285714285714,33.025273116073,41
0.857142857142857,31.438323333897,40
1,50.0567896133518,57
1.14285714285714,69.0170793003075,60
1.28571428571429,74.2189291564818,77
1.42857142857143,77.1014021318243,96
1.57142857142857,103.6538591559,110
1.71428571428571,128.73415746049,130
1.85714285714286,160.498772020418,154
2,182.005278511764,167
2.14285714285714,207.290611901468,190
2.28571428571429,234.696899384888,207
2.42857142857143,248.421975028997,234
2.57142857142857,284.783624259808,279
2.71428571428571,313.362161119587,303
2.85714285714286,323.386652940339,312
3,337.141164600434,322
3.14285714285714,373.349844590535,340
3.28571428571429,375.095915913555,347
3.42857142857143,389.561856226411,355
3.57142857142857,411.121939728558,424
3.71428571428571,434.664026223431,446
3.85714285714286,426.063088750735,443
4,434.505118487608,459
4.14285714285714,449.048028353658,458
4.28571428571429,444.224695203214,467
4.42857142857143,444.752202968366,434
4.57142857142857,420.378150737363,428
4.71428571428571,402.66340905781,408
4.85714285714286,357.044332834736,362
5,341.025848369275,362
5.14285714285714,320.448056791423,355
5.28571428571429,292.924450743129,361
5.42857142857143,275.699304936412,334
5.57142857142857,251.712679054066,299
5.71428571428571,230.663775262112,283
5.85714285714286,213.202477958666,260
6,194.391350370909,265
6.14285714285714,173.6492804764,210
6.28571428571429,177.306606419925,184
6.42857142857143,177.77487448775,175
6.57142857142857,149.032434703257,145
6.71428571428571,129.395239070698,112
6.85714285714286,113.083939597364,100
7,102.565007382522,92
7.14285714285714,93.4327179346392,75
7.28571428571429,73.057959352483,76
7.42857142857143,57.6738665139966,61
7.57142857142857,50.5163347936568,50
7.71428571428571,55.8618747152755,47
7.85714285714286,50.3103789186159,41
8,48.2284335164334,37
8.14285714285714,38.6649649582512,32
8.28571428571428,35.4752962994284,29
8.42857142857143,31.9513883444182,25
8.57142857142857,25.5732945163247,24
8.71428571428571,24.7312039631529,21
8.85714285714286,24.0975090227955,16
9,21.3316751176894,14
9.14285714285714,16.642346279362,12
9.28571428571428,15.9790002441654,14
9.42857142857143,15.4794843003779,12
9.57142857142857,10.5686100335166,10
9.71428571428571,9.26403223103947,10
9.85714285714286,11.448880634988,11
10,7.86045401865601,6
