"week","gamma_infectious","true_infectious"
0.142857142857143,12.4481510399102,15
0.285714285714286,10.0698865236352,23
0.428571428571429,17.235252228818,32
0.571428571428571,28.1547970947698,38
0.714285714285714,27.6942909269355,41
0.857142857142857,43.5216632311951,40
1,55.5790460481449,57
1.14285714285714,66.2362694522657,60
1.28571428571429,64.6141710313743,77
1.42857142857143,99.4500089807975,96
1.57142857142857,122.338707519939,110
1.71428571428571,115.784299768567,130
1.85714285714286,162.699731661438,154
2,169.806802053833,167
2.14285714285714,196.525381757709,190
2.28571428571429,183.77771234972,207
2.42857142857143,191.531269554069,234
2.57142857142857,240.913701426971,279
2.71428571428571,259.05242194797,303
2.85714285714286,353.46037175838,312
3,385.048472977249,322
3.14285714285714,441.797154649488,340
3.28571428571429,458.915624193261,347
3.42857142857143,426.168523525863,355
3.57142857142857,480.094980693115,424
3.71428571428571,465.146060686282,446
3.85714285714286,447.104411084819,443
4,440.426519523661,459
4.14285714285714,370.007480116794,458
4.28571428571429,392.828186919878,467
4.42857142857143,414.194513253482,434
4.57142857142857,430.378010493483,428
4.71428571428571,398.926332013008,408
4.85714285714286,379.206410860305,362
5,357.264654438735,362
5.14285714285714,284.241144464427,296
5.28571428571429,269.47108004724,256
5.42857142857143,202.707366218545,199
5.57142857142857,150.19551546893,147
5.71428571428571,122.724164870981,124
5.85714285714286,106.646244975037,98
6,83.0885978695804,86
6.14285714285714,65.4664651594586,58
6.28571428571429,50.4722398500711,43
6.42857142857143,43.0853822982774,33
6.57142857142857,30.6460777298957,23
6.71428571428571,20.2058323046137,13
6.85714285714286,13.2819257156766,10
7,12.0053967807151,7
7.14285714285714,7.98890820799096,5
7.28571428571429,8.2108817655659,6
7.42857142857143,8.32358287933279,5
7.57142857142857,5.58074143082483,3
7.71428571428571,3.72872266933718,3
7.85714285714286,2.47442580894906,1
8,1.63283297362098,2
8.14285714285714,1.07336428105363,2
8.28571428571428,0.706349233211048,1
8.42857142857143,0.467671658388212,0
8.57142857142857,0.309069065724705,0
8.71428571428571,0.202721202418456,0
8.85714285714286,0.133880397287264,0
9,0.08768151082405,0
9.14285714285714,0.0567883544375115,0
9.28571428571428,0.0367050356914131,0
9.42857142857143,0.0241952808552956,0
9.57142857142857,0.0161959476033833,0
9.71428571428571,0.0107600462441926,0
9.85714285714286,0.00734261812973323,0
10,0.00493327013590063,0
