"week","B_filtered_mean","B_true"
0.142857142857143,3.98931174281771,4
0.285714285714286,3.98934387426055,4
0.428571428571429,3.98935634851278,4
0.571428571428571,3.98937255875324,4
0.714285714285714,3.98936713236914,4
0.857142857142857,3.9893150242317,4
1,3.9894233949418,4
1.14285714285714,3.9895406170936,4
1.28571428571429,3.98949912147434,4
1.42857142857143,3.98939985645919,4
1.57142857142857,3.98958783924836,4
1.71428571428571,3.98974876119706,4
1.85714285714286,3.99000785558892,4
2,3.99000123262672,4
2.14285714285714,3.99001835030214,4
2.28571428571429,3.99008828422321,4
2.42857142857143,3.98975884280984,4
2.57142857142857,3.99000191063306,4
2.71428571428571,3.99000621001406,4
2.85714285714286,3.9895357577255,4
3,3.98918875039658,4
3.14285714285714,3.98954728803644,4
3.28571428571429,3.98884199809179,4
3.42857142857143,3.988642332214,4
3.57142857142857,3.98880467725657,4
3.71428571428571,3.98922407098675,4
3.85714285714286,3.9883443098117,4
4,3.98850934687457,4
4.14285714285714,3.98931770675956,4
4.28571428571429,3.98930845795127,4
4.42857142857143,3.98992104063671,4
4.57142857142857,3.98917929471078,4
4.71428571428571,3.98910477723896,4
4.85714285714286,3.98744688527094,4
5,3.98761846065748,4
5.14285714285714,3.98758495806396,4
5.28571428571429,3.98714232237696,4
5.42857142857143,3.98729783855758,4
5.57142857142857,3.98713289263406,4
5.71428571428571,3.98716219185536,4
5.85714285714286,3.98726381194585,4
6,3.98724411961654,4
6.14285714285714,3.98717551935002,4
6.28571428571429,3.98806311932355,4
6.42857142857143,3.98899642794654,4
6.57142857142857,3.98825146609613,4
6.71428571428571,3.98802610919434,4
6.85714285714286,3.98785492800119,4
7,3.9878708927427,4
7.14285714285714,3.98789558780409,4
7.28571428571429,3.98756698489052,4
7.42857142857143,3.98734290969994,4
7.57142857142857,3.98726513196989,4
7.71428571428571,3.988088760619,4
7.85714285714286,3.98804047309663,4
8,3.98829966559979,4
8.14285714285714,3.98820431533955,4
8.28571428571428,3.98821428114662,4
8.42857142857143,3.98821629925962,4
8.57142857142857,3.98802248685155,4
8.71428571428571,3.98819966665796,4
8.85714285714286,3.98846853853545,4
9,3.9883923323329,4
9.14285714285714,3.98818540782141,4
9.28571428571428,3.98817597400743,4
9.42857142857143,3.98825105070894,4
9.57142857142857,3.98801419657935,4
9.71428571428571,3.98805539804963,4
9.85714285714286,3.98820765292114,4
10,3.98806550833569,4
