"week","reports"
0.142857142857143,0
0.285714285714286,1
0.428571428571429,4
0.571428571428571,2
0.714285714285714,2
0.857142857142857,0
1,3
1.14285714285714,4
1.28571428571429,2
1.42857142857143,2
1.57142857142857,2
1.71428571428571,12
1.85714285714286,14
2,6
2.14285714285714,6
2.28571428571429,18
2.42857142857143,16
2.57142857142857,8
2.71428571428571,9
2.85714285714286,16
3,27
3.14285714285714,15
3.28571428571429,29
3.42857142857143,21
3.57142857142857,36
3.71428571428571,28
3.85714285714286,51
4,38
4.14285714285714,75
4.28571428571429,43
4.42857142857143,35
4.57142857142857,60
4.71428571428571,38
4.85714285714286,82
5,81
5.14285714285714,28
5.28571428571429,41
5.42857142857143,29
5.57142857142857,18
5.71428571428571,10
5.85714285714286,17
6,4
6.14285714285714,7
6.28571428571429,1
6.42857142857143,3
6.57142857142857,6
6.71428571428571,1
6.85714285714286,1
7,1
7.14285714285714,1
7.28571428571429,1
7.42857142857143,1
7.57142857142857,2
7.71428571428571,1
7.85714285714286,0
8,0
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
