"week","reports"
0.142857142857143,1
0.285714285714286,2
0.428571428571429,1
0.571428571428571,1
0.714285714285714,2
0.857142857142857,4
1,0
1.14285714285714,6
1.28571428571429,4
1.42857142857143,1
1.57142857142857,6
1.71428571428571,9
1.85714285714286,4
2,5
2.14285714285714,5
2.28571428571429,2
2.42857142857143,5
2.57142857142857,0
2.71428571428571,2
2.85714285714286,1
3,6
3.14285714285714,6
3.28571428571429,6
3.42857142857143,1
3.57142857142857,5
3.71428571428571,1
3.85714285714286,13
4,7
4.14285714285714,11
4.28571428571429,5
4.42857142857143,6
4.57142857142857,6
4.71428571428571,16
4.85714285714286,17
5,14
5.14285714285714,3
5.28571428571429,6
5.42857142857143,20
5.57142857142857,10
5.71428571428571,4
5.85714285714286,1
6,4
6.14285714285714,3
6.28571428571429,5
6.42857142857143,1
6.57142857142857,3
6.71428571428571,2
6.85714285714286,0
7,0
7.14285714285714,0
7.28571428571429,0
7.42857142857143,0
7.57142857142857,0
7.71428571428571,0
7.85714285714286,0
8,0
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
