"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9981,13,6,9,6
0.285714285714286,"1",9969,20,11,12,8
0.428571428571429,"1",9953,27,20,16,6
0.571428571428571,"1",9944,26,30,9,1
0.714285714285714,"1",9934,24,42,10,8
0.857142857142857,"1",9920,28,52,14,5
1,"1",9908,28,64,12,3
1.14285714285714,"1",9885,40,75,23,8
1.28571428571429,"1",9856,56,88,29,13
1.42857142857143,"1",9818,66,116,38,23
1.57142857142857,"1",9774,85,141,44,20
1.71428571428571,"1",9731,87,182,43,20
1.85714285714286,"1",9665,112,223,66,35
2,"1",9594,127,279,71,43
2.14285714285714,"1",9515,156,329,79,32
2.28571428571429,"1",9407,184,409,108,54
2.42857142857143,"1",9312,202,486,95,70
2.57142857142857,"1",9208,225,567,104,37
2.71428571428571,"1",9093,246,661,115,93
2.85714285714286,"1",8935,303,762,158,45
3,"1",8772,345,883,163,70
3.14285714285714,"1",8592,381,1027,180,122
3.28571428571429,"1",8404,399,1197,188,117
3.42857142857143,"1",8198,444,1358,206,67
3.57142857142857,"1",7983,491,1526,215,127
3.71428571428571,"1",7766,511,1723,217,106
3.85714285714286,"1",7532,533,1935,234,139
4,"1",7287,562,2151,245,114
4.14285714285714,"1",7051,557,2392,236,278
4.28571428571429,"1",6816,585,2599,235,131
4.42857142857143,"1",6616,547,2837,200,156
4.57142857142857,"1",6386,551,3063,230,197
4.71428571428571,"1",6216,481,3303,170,102
4.85714285714286,"1",6057,430,3513,159,89
5,"1",5905,400,3695,152,121
5.14285714285714,"1",5845,315,3840,60,26
5.28571428571429,"1",5808,244,3948,37,23
5.42857142857143,"1",5769,199,4032,39,12
5.57142857142857,"1",5733,152,4115,36,15
5.71428571428571,"1",5711,115,4174,22,15
5.85714285714286,"1",5693,91,4216,18,5
6,"1",5677,70,4253,16,17
6.14285714285714,"1",5666,56,4278,11,4
6.28571428571429,"1",5657,48,4295,9,4
6.42857142857143,"1",5647,44,4309,10,6
6.57142857142857,"1",5640,40,4320,7,4
6.71428571428571,"1",5632,29,4339,8,5
6.85714285714286,"1",5631,19,4350,1,0
7,"1",5624,19,4357,7,2
7.14285714285714,"1",5623,13,4364,1,0
7.28571428571429,"1",5622,11,4367,1,2
7.42857142857143,"1",5620,9,4371,2,2
7.57142857142857,"1",5618,8,4374,2,1
7.71428571428571,"1",5615,8,4377,3,0
7.85714285714286,"1",5615,2,4383,0,0
8,"1",5615,2,4383,0,0
8.14285714285714,"1",5615,2,4383,0,0
8.28571428571428,"1",5614,2,4384,1,0
8.42857142857143,"1",5614,2,4384,0,0
8.57142857142857,"1",5613,2,4385,1,0
8.71428571428571,"1",5613,1,4386,0,0
8.85714285714286,"1",5613,0,4387,0,0
9,"1",5613,0,4387,0,0
9.14285714285714,"1",5613,0,4387,0,0
9.28571428571428,"1",5613,0,4387,0,0
9.42857142857143,"1",5613,0,4387,0,0
9.57142857142857,"1",5613,0,4387,0,0
9.71428571428571,"1",5613,0,4387,0,0
9.85714285714286,"1",5613,0,4387,0,0
10,"1",5613,0,4387,0,0
