"week","reports"
0.142857142857143,2
0.285714285714286,3
0.428571428571429,2
0.571428571428571,7
0.714285714285714,5
0.857142857142857,2
1,2
1.14285714285714,5
1.28571428571429,13
1.42857142857143,13
1.57142857142857,12
1.71428571428571,16
1.85714285714286,15
2,29
2.14285714285714,24
2.28571428571429,40
2.42857142857143,26
2.57142857142857,61
2.71428571428571,34
2.85714285714286,38
3,32
3.14285714285714,41
3.28571428571429,45
3.42857142857143,31
3.57142857142857,37
3.71428571428571,25
3.85714285714286,85
4,85
4.14285714285714,116
4.28571428571429,52
4.42857142857143,64
4.57142857142857,59
4.71428571428571,114
4.85714285714286,93
5,78
5.14285714285714,59
5.28571428571429,72
5.42857142857143,14
5.57142857142857,18
5.71428571428571,8
5.85714285714286,9
6,15
6.14285714285714,7
6.28571428571429,7
6.42857142857143,6
6.57142857142857,2
6.71428571428571,1
6.85714285714286,4
7,2
7.14285714285714,0
7.28571428571429,0
7.42857142857143,0
7.57142857142857,1
7.71428571428571,2
7.85714285714286,3
8,1
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
