"week","reports"
0.142857142857143,8
0.285714285714286,11
0.428571428571429,11
0.571428571428571,10
0.714285714285714,12
0.857142857142857,8
1,7
1.14285714285714,12
1.28571428571429,12
1.42857142857143,13
1.57142857142857,7
1.71428571428571,15
1.85714285714286,13
2,19
2.14285714285714,26
2.28571428571429,16
2.42857142857143,46
2.57142857142857,51
2.71428571428571,50
2.85714285714286,51
3,42
3.14285714285714,60
3.28571428571429,26
3.42857142857143,61
3.57142857142857,89
3.71428571428571,106
3.85714285714286,108
4,39
4.14285714285714,72
4.28571428571429,43
4.42857142857143,93
4.57142857142857,88
4.71428571428571,39
4.85714285714286,70
5,41
5.14285714285714,64
5.28571428571429,36
5.42857142857143,18
5.57142857142857,23
5.71428571428571,29
5.85714285714286,12
6,6
6.14285714285714,7
6.28571428571429,10
6.42857142857143,6
6.57142857142857,4
6.71428571428571,0
6.85714285714286,1
7,0
7.14285714285714,2
7.28571428571429,1
7.42857142857143,10
7.57142857142857,3
7.71428571428571,0
7.85714285714286,1
8,0
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,2
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
