"week","reports"
0.142857142857143,2
0.285714285714286,7
0.428571428571429,8
0.571428571428571,10
0.714285714285714,34
0.857142857142857,13
1,11
1.14285714285714,21
1.28571428571429,19
1.42857142857143,29
1.57142857142857,10
1.71428571428571,20
1.85714285714286,16
2,32
2.14285714285714,44
2.28571428571429,20
2.42857142857143,23
2.57142857142857,62
2.71428571428571,81
2.85714285714286,28
3,32
3.14285714285714,42
3.28571428571429,63
3.42857142857143,52
3.57142857142857,73
3.71428571428571,83
3.85714285714286,173
4,116
4.14285714285714,45
4.28571428571429,165
4.42857142857143,118
4.57142857142857,39
4.71428571428571,118
4.85714285714286,90
5,62
5.14285714285714,43
5.28571428571429,34
5.42857142857143,17
5.57142857142857,4
5.71428571428571,4
5.85714285714286,15
6,7
6.14285714285714,2
6.28571428571429,6
6.42857142857143,2
6.57142857142857,3
6.71428571428571,2
6.85714285714286,1
7,1
7.14285714285714,0
7.28571428571429,0
7.42857142857143,0
7.57142857142857,0
7.71428571428571,0
7.85714285714286,0
8,1
8.14285714285714,1
8.28571428571428,0
8.42857142857143,1
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
