"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9980,16,4,10,4
0.285714285714286,"1",9962,24,14,18,6
0.428571428571429,"1",9947,34,19,15,6
0.571428571428571,"1",9935,34,31,12,6
0.714285714285714,"1",9920,35,45,15,14
0.857142857142857,"1",9887,48,65,33,13
1,"1",9855,52,93,32,25
1.14285714285714,"1",9823,61,116,32,12
1.28571428571429,"1",9791,68,141,32,5
1.42857142857143,"1",9762,64,174,29,20
1.57142857142857,"1",9739,66,195,23,20
1.71428571428571,"1",9701,78,221,38,40
1.85714285714286,"1",9659,82,259,42,18
2,"1",9615,93,292,44,27
2.14285714285714,"1",9578,95,327,37,21
2.28571428571429,"1",9532,101,367,46,36
2.42857142857143,"1",9464,123,413,68,48
2.57142857142857,"1",9398,148,454,66,42
2.71428571428571,"1",9300,188,512,98,51
2.85714285714286,"1",9195,228,577,105,82
3,"1",9068,278,654,127,106
3.14285714285714,"1",8933,291,776,135,75
3.28571428571429,"1",8780,316,904,153,106
3.42857142857143,"1",8643,333,1024,137,89
3.57142857142857,"1",8463,380,1157,180,87
3.71428571428571,"1",8293,387,1320,170,103
3.85714285714286,"1",8107,431,1462,186,101
4,"1",7918,426,1656,189,150
4.14285714285714,"1",7747,419,1834,171,92
4.28571428571429,"1",7556,436,2008,191,117
4.42857142857143,"1",7392,431,2177,164,58
4.57142857142857,"1",7194,451,2355,198,71
4.71428571428571,"1",7023,435,2542,171,53
4.85714285714286,"1",6853,417,2730,170,104
5,"1",6704,398,2898,149,77
5.14285714285714,"1",6631,304,3065,73,43
5.28571428571429,"1",6587,242,3171,44,25
5.42857142857143,"1",6543,190,3267,44,10
5.57142857142857,"1",6519,142,3339,24,11
5.71428571428571,"1",6498,104,3398,21,13
5.85714285714286,"1",6485,86,3429,13,3
6,"1",6470,68,3462,15,17
6.14285714285714,"1",6457,54,3489,13,4
6.28571428571429,"1",6453,36,3511,4,3
6.42857142857143,"1",6443,33,3524,10,8
6.57142857142857,"1",6440,22,3538,3,0
6.71428571428571,"1",6433,19,3548,7,4
6.85714285714286,"1",6427,17,3556,6,7
7,"1",6419,18,3563,8,1
7.14285714285714,"1",6419,12,3569,0,0
7.28571428571429,"1",6415,15,3570,4,0
7.42857142857143,"1",6414,10,3576,1,2
7.57142857142857,"1",6414,7,3579,0,0
7.71428571428571,"1",6411,8,3581,3,2
7.85714285714286,"1",6410,4,3586,1,0
8,"1",6409,3,3588,1,0
8.14285714285714,"1",6409,3,3588,0,0
8.28571428571428,"1",6409,3,3588,0,0
8.42857142857143,"1",6409,2,3589,0,0
8.57142857142857,"1",6408,2,3590,1,0
8.71428571428571,"1",6408,1,3591,0,0
8.85714285714286,"1",6408,1,3591,0,0
9,"1",6408,1,3591,0,0
9.14285714285714,"1",6407,2,3591,1,0
9.28571428571428,"1",6407,1,3592,0,0
9.42857142857143,"1",6407,1,3592,0,0
9.57142857142857,"1",6407,1,3592,0,0
9.71428571428571,"1",6407,0,3593,0,0
9.85714285714286,"1",6407,0,3593,0,0
10,"1",6407,0,3593,0,0
