"week","reports"
0.142857142857143,5
0.285714285714286,3
0.428571428571429,2
0.571428571428571,9
0.714285714285714,2
0.857142857142857,8
1,11
1.14285714285714,18
1.28571428571429,11
1.42857142857143,25
1.57142857142857,17
1.71428571428571,7
1.85714285714286,28
2,26
2.14285714285714,27
2.28571428571429,14
2.42857142857143,73
2.57142857142857,29
2.71428571428571,39
2.85714285714286,49
3,39
3.14285714285714,14
3.28571428571429,72
3.42857142857143,40
3.57142857142857,81
3.71428571428571,90
3.85714285714286,68
4,38
4.14285714285714,70
4.28571428571429,81
4.42857142857143,53
4.57142857142857,84
4.71428571428571,81
4.85714285714286,72
5,57
5.14285714285714,28
5.28571428571429,9
5.42857142857143,22
5.57142857142857,6
5.71428571428571,33
5.85714285714286,12
6,9
6.14285714285714,9
6.28571428571429,2
6.42857142857143,6
6.57142857142857,6
6.71428571428571,1
6.85714285714286,0
7,1
7.14285714285714,0
7.28571428571429,1
7.42857142857143,0
7.57142857142857,0
7.71428571428571,0
7.85714285714286,0
8,0
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
