"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9983,11,6,7,3
0.285714285714286,"1",9973,14,13,10,2
0.428571428571429,"1",9960,16,24,13,4
0.571428571428571,"1",9949,23,28,11,8
0.714285714285714,"1",9940,25,35,9,3
0.857142857142857,"1",9924,25,51,16,3
1,"1",9901,32,67,23,8
1.14285714285714,"1",9886,35,79,15,15
1.28571428571429,"1",9865,39,96,21,13
1.42857142857143,"1",9847,44,109,18,11
1.57142857142857,"1",9827,44,129,20,3
1.71428571428571,"1",9803,53,144,24,15
1.85714285714286,"1",9765,72,163,38,18
2,"1",9729,74,197,36,27
2.14285714285714,"1",9685,82,233,44,27
2.28571428571429,"1",9629,104,267,56,17
2.42857142857143,"1",9549,144,307,80,56
2.57142857142857,"1",9459,169,372,90,52
2.71428571428571,"1",9367,188,445,92,75
2.85714285714286,"1",9273,190,537,94,39
3,"1",9168,225,607,105,52
3.14285714285714,"1",9061,246,693,107,11
3.28571428571429,"1",8925,274,801,136,72
3.42857142857143,"1",8776,318,906,149,65
3.57142857142857,"1",8598,365,1037,178,78
3.71428571428571,"1",8424,389,1187,174,59
3.85714285714286,"1",8248,396,1356,176,65
4,"1",8040,427,1533,208,107
4.14285714285714,"1",7856,452,1692,184,75
4.28571428571429,"1",7679,449,1872,177,124
4.42857142857143,"1",7468,475,2057,211,96
4.57142857142857,"1",7282,457,2261,186,62
4.71428571428571,"1",7084,440,2476,198,61
4.85714285714286,"1",6887,451,2662,197,49
5,"1",6739,414,2847,148,79
5.14285714285714,"1",6669,327,3004,70,18
5.28571428571429,"1",6610,267,3123,59,24
5.42857142857143,"1",6557,206,3237,53,58
5.57142857142857,"1",6525,155,3320,32,13
5.71428571428571,"1",6500,124,3376,25,10
5.85714285714286,"1",6472,100,3428,28,23
6,"1",6456,72,3472,16,9
6.14285714285714,"1",6434,68,3498,22,19
6.28571428571429,"1",6426,56,3518,8,6
6.42857142857143,"1",6419,41,3540,7,1
6.57142857142857,"1",6416,27,3557,3,4
6.71428571428571,"1",6412,19,3569,4,1
6.85714285714286,"1",6410,14,3576,2,3
7,"1",6406,15,3579,4,5
7.14285714285714,"1",6404,10,3586,2,2
7.28571428571429,"1",6403,6,3591,1,0
7.42857142857143,"1",6403,3,3594,0,0
7.57142857142857,"1",6403,2,3595,0,0
7.71428571428571,"1",6403,1,3596,0,0
7.85714285714286,"1",6403,1,3596,0,0
8,"1",6403,1,3596,0,0
8.14285714285714,"1",6402,2,3596,1,1
8.28571428571428,"1",6402,1,3597,0,0
8.42857142857143,"1",6402,1,3597,0,0
8.57142857142857,"1",6402,1,3597,0,0
8.71428571428571,"1",6402,1,3597,0,0
8.85714285714286,"1",6402,1,3597,0,0
9,"1",6401,1,3598,1,1
9.14285714285714,"1",6401,1,3598,0,0
9.28571428571428,"1",6401,1,3598,0,0
9.42857142857143,"1",6401,1,3598,0,0
9.57142857142857,"1",6401,1,3598,0,0
9.71428571428571,"1",6401,1,3598,0,0
9.85714285714286,"1",6401,1,3598,0,0
10,"1",6401,0,3599,0,0
