"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9984,14,2,6,0
0.285714285714286,"1",9973,16,11,11,8
0.428571428571429,"1",9963,18,19,10,10
0.571428571428571,"1",9957,15,28,6,1
0.714285714285714,"1",9952,13,35,5,0
0.857142857142857,"1",9944,15,41,8,5
1,"1",9933,21,46,11,5
1.14285714285714,"1",9919,26,55,14,11
1.28571428571429,"1",9906,27,67,13,3
1.42857142857143,"1",9897,26,77,9,1
1.57142857142857,"1",9880,32,88,17,15
1.71428571428571,"1",9860,39,101,20,4
1.85714285714286,"1",9836,47,117,24,11
2,"1",9794,60,146,42,23
2.14285714285714,"1",9763,70,167,31,9
2.28571428571429,"1",9720,82,198,43,18
2.42857142857143,"1",9674,91,235,46,19
2.57142857142857,"1",9617,111,272,57,27
2.71428571428571,"1",9548,125,327,69,18
2.85714285714286,"1",9461,151,388,87,67
3,"1",9374,176,450,87,42
3.14285714285714,"1",9288,191,521,86,72
3.28571428571429,"1",9196,200,604,92,45
3.42857142857143,"1",9073,240,687,123,85
3.57142857142857,"1",8946,271,783,127,54
3.71428571428571,"1",8777,337,886,169,61
3.85714285714286,"1",8615,343,1042,162,62
4,"1",8418,389,1193,197,64
4.14285714285714,"1",8238,427,1335,180,73
4.28571428571429,"1",8029,468,1503,209,136
4.42857142857143,"1",7803,484,1713,226,106
4.57142857142857,"1",7576,512,1912,227,174
4.71428571428571,"1",7343,546,2111,233,137
4.85714285714286,"1",7153,536,2311,190,64
5,"1",6973,478,2549,180,52
5.14285714285714,"1",6889,371,2740,84,46
5.28571428571429,"1",6833,293,2874,56,31
5.42857142857143,"1",6768,247,2985,65,38
5.57142857142857,"1",6732,174,3094,36,13
5.71428571428571,"1",6700,142,3158,32,14
5.85714285714286,"1",6667,114,3219,33,14
6,"1",6642,100,3258,25,7
6.14285714285714,"1",6630,72,3298,12,12
6.28571428571429,"1",6616,55,3329,14,9
6.42857142857143,"1",6605,40,3355,11,8
6.57142857142857,"1",6595,36,3369,10,8
6.71428571428571,"1",6592,24,3384,3,1
6.85714285714286,"1",6588,17,3395,4,2
7,"1",6586,9,3405,2,1
7.14285714285714,"1",6584,7,3409,2,1
7.28571428571429,"1",6584,2,3414,0,0
7.42857142857143,"1",6584,0,3416,0,0
7.57142857142857,"1",6584,0,3416,0,0
7.71428571428571,"1",6584,0,3416,0,0
7.85714285714286,"1",6584,0,3416,0,0
8,"1",6584,0,3416,0,0
8.14285714285714,"1",6584,0,3416,0,0
8.28571428571428,"1",6584,0,3416,0,0
8.42857142857143,"1",6584,0,3416,0,0
8.57142857142857,"1",6584,0,3416,0,0
8.71428571428571,"1",6584,0,3416,0,0
8.85714285714286,"1",6584,0,3416,0,0
9,"1",6584,0,3416,0,0
9.14285714285714,"1",6584,0,3416,0,0
9.28571428571428,"1",6584,0,3416,0,0
9.42857142857143,"1",6584,0,3416,0,0
9.57142857142857,"1",6584,0,3416,0,0
9.71428571428571,"1",6584,0,3416,0,0
9.85714285714286,"1",6584,0,3416,0,0
10,"1",6584,0,3416,0,0
