"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","evaluation_seed","logLik","status"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,3,21271303,-177.875477912702,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,4,21271304,-177.892147794895,"success"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,5,21271305,-177.873268019444,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,1,22262301,-187.687972178014,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,2,22262302,-187.718588112519,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,3,22262303,-187.705413257871,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,4,22262304,-187.699512909102,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,5,22262305,-187.668326203193,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,2,1,22263301,-187.720679435169,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,2,2,22263302,-187.694200442856,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,2,3,22263303,-187.728937359455,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,2,4,22263304,-187.716645287426,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,2,5,22263305,-187.700989075506,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,3,1,22264301,-187.671874225783,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,3,2,22264302,-187.715126063024,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,3,3,22264303,-187.688306213857,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,3,4,22264304,-187.707677315775,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,3,5,22264305,-187.685683060265,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,4,1,22265301,-187.699856383863,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,4,2,22265302,-187.692053606369,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,4,3,22265303,-187.686448824202,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,4,4,22265304,-187.689392210375,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,4,5,22265305,-187.677426610486,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,5,1,22266301,-187.731236607126,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,5,2,22266302,-187.711251135302,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,5,3,22266303,-187.693841556303,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,5,4,22266304,-187.713910896346,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,5,5,22266305,-187.706337308096,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,6,1,22267301,-187.680132829193,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,6,2,22267302,-187.722831237187,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,6,3,22267303,-187.698340330993,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,6,4,22267304,-187.683931692553,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,6,5,22267305,-187.687126967225,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,7,1,22268301,-187.687681580398,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,7,2,22268302,-187.710432418494,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,7,3,22268303,-187.682091642964,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,7,4,22268304,-187.718556793458,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,7,5,22268305,-187.701361152588,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,8,1,22269301,-187.703232429711,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,8,2,22269302,-187.720659808661,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,8,3,22269303,-187.711796996163,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,8,4,22269304,-187.715767473784,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,8,5,22269305,-187.69783376334,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,9,1,22270301,-187.694657955574,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,9,2,22270302,-187.720406764051,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,9,3,22270303,-187.710949082708,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,9,4,22270304,-187.713010094952,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,9,5,22270305,-187.725688797056,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,10,1,22271301,-187.71378463666,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,10,2,22271302,-187.72235030038,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,10,3,22271303,-187.691623965926,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,10,4,22271304,-187.752357773419,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,10,5,22271305,-187.702580497566,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,1,1,23262301,-135.505638719913,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,1,2,23262302,-135.393835832033,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,1,3,23262303,-135.489789258491,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,1,4,23262304,-135.497660979018,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,1,5,23262305,-135.403234092338,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,2,1,23263301,-135.45872173857,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,2,2,23263302,-135.411414654868,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,2,3,23263303,-135.469622920433,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,2,4,23263304,-135.499977783671,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,2,5,23263305,-135.559907600883,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,3,1,23264301,-135.515053340112,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B",600,3,2,23264302,-135.408904216348,"success"
