"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_id","start_source","mif_seed","evaluation_seed_base","start_b1","start_b2","start_b3","start_b4","start_b5","start_b6","independently_evaluated_logLik","logLik_se","n_successful_pf_evals","eligible_for_selection","status","error_message","selected"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,1,1,"constant_B3",21262200,21262300,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,-177.905883983216,0.0111939587225301,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,2,2,"constant_B4",21263200,21263300,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,-177.870894717014,0.00573045548937008,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,3,3,"declining_B4_to_B2",21264200,21264300,1.38629436111989,1.2476649250079,1.10903548889591,0.970406052783923,0.831776616671934,0.693147180559945,-177.871089235444,0.00672200905466386,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,4,4,"random",21265200,21265300,0.481113548348985,0.440542101803642,0.300719676817545,0.900462061897826,0.505480168686366,0.880713498644605,-177.875411427824,0.00214316453957016,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,5,5,"random",21266200,21266300,0.978227123904368,1.28224401519475,-0.0321456854144268,0.529975519235539,0.559643501441792,0.533378395508918,-177.885150767205,0.00568036109224243,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,6,6,"random",21267200,21267300,0.574516042933263,1.85395660926114,1.85388389631808,1.56513381347819,1.92722219600981,1.79611054797083,-177.873501799282,0.00398195080128747,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,7,7,"random",21268200,21268300,1.41763301120423,1.13820744456355,1.56982355057689,0.776525103669448,1.08339634471073,1.45639472479157,-177.872236997683,0.00790824509999612,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,8,8,"random",21269200,21269300,1.36103166817271,1.74511972761744,1.3083260658961,1.40047858606159,1.18673859667688,1.04233580157623,-177.876038861113,0.0080130558443413,5,TRUE,"success",NA,FALSE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,9,9,"random",21270200,21270300,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,-177.865294603419,0.00766684561230427,5,TRUE,"success",NA,TRUE
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","bspline_B",600,10,10,"random",21271200,21271300,1.14556938499506,1.79163874821368,1.65111169926338,1.69223747973175,1.4646387853013,1.22823514834949,-177.87822391385,0.00439958282537694,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,1,1,"constant_B3",22262200,22262300,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,1.09861228866811,-187.695818085451,0.00852371257126684,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,2,2,"constant_B4",22263200,22263300,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,-187.712208109649,0.00641876862094444,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,3,3,"declining_B4_to_B2",22264200,22264300,1.38629436111989,1.2476649250079,1.10903548889591,0.970406052783923,0.831776616671934,0.693147180559945,-187.693611008596,0.0078180657389312,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,4,4,"random",22265200,22265300,1.17599535181473,2.07944154167984,1.45274916681855,1.2802327998853,0.999350130759545,0.802330240055683,-187.689008739082,0.0036616456312294,5,TRUE,"success",NA,TRUE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,5,5,"random",22266200,22266300,0.46350389678431,0.851450517384408,0.718917213488259,0.61855185709513,0.874925382519229,0.56964275061247,-187.711242212189,0.00604446008140658,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,6,6,"random",22267200,22267300,0.426237771432935,0.970393032249572,0.53663551524844,0.733076670186858,0.804007281469688,1.60248544361476,-187.694354237221,0.0076393214738295,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,7,7,"random",22268200,22268300,0.951533774257119,1.0122216251507,1.82520002879183,1.3035478316234,1.83861875272076,1.26748895443755,-187.699931965401,0.00681051348437597,5,TRUE,"success",NA,FALSE
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B",600,8,8,"random",22269200,22269300,1.68332323684212,1.79627331683557,1.03675154686734,1.65418213843174,1.24475207157567,1.94317318828933,-187.709823691984,0.00415051112764379,5,TRUE,"success",NA,FALSE
