"loglik","b1","b2","b3","b4","b5","b6","initial_infectious","mu_IR","N","rho","k","mif_iteration","task_id","model","run","start_start_b1","start_start_b2","start_start_b3","start_start_b4","start_start_b5","start_start_b6","simulation_seed","observed_data_md5","Nmif"
-188.059260909439,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,10,3,10000,0.5,10,0,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-184.145879640755,1.33340329229338,1.74068213685382,1.31119625655099,0.781277617104642,1.06639746995251,1.50914163729403,10,3,10000,0.5,10,1,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-183.128195882638,1.42396056568079,1.38258726140097,1.64990224642776,0.49968145760374,0.680487002559489,1.40249662856526,10,3,10000,0.5,10,2,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-183.162345882025,1.49882710503345,1.21345069880439,1.77917468594215,0.435980457821055,0.289747812167187,1.39728305629245,10,3,10000,0.5,10,3,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-183.07037075795,1.74336691954816,1.15440428658442,1.79371012423146,0.423495284842535,0.14303963940701,1.53036263881871,10,3,10000,0.5,10,4,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.71834589264,1.7873586655683,1.18302470199161,1.7723977028937,0.499710755475925,-0.0481317136492403,1.54147229324698,10,3,10000,0.5,10,5,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.9668611917,2.02950716297717,1.16920048542309,1.80355583538727,0.470772709696416,-0.342969301468722,1.36413682283853,10,3,10000,0.5,10,6,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.914126002775,2.04172292983171,1.18976599010717,1.74352495341948,0.562315285249859,-0.562423565866772,1.3803196583898,10,3,10000,0.5,10,7,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.526660871694,2.01213835743049,1.17989078244543,1.700403672101,0.605755047831186,-0.84344590166037,1.40159743613956,10,3,10000,0.5,10,8,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.359038408091,2.2339823230061,1.21074020509556,1.70940771243534,0.636923768599745,-0.945096497157167,1.35502438689099,10,3,10000,0.5,10,9,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.442099375835,2.18857190394618,1.22525871664675,1.69123511620725,0.64521557891145,-1.13783399477535,1.34263976381638,10,3,10000,0.5,10,10,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.252974478179,2.12997663760698,1.2568853661123,1.72003977234274,0.648998332997581,-1.27940302559134,1.27546317691942,10,3,10000,0.5,10,11,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.198765901147,2.24706713360878,1.28144388105424,1.67308018673675,0.695456829160587,-1.4942269727138,1.30018009748211,10,3,10000,0.5,10,12,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.09720817521,2.37749846007698,1.22971824210454,1.65752071988691,0.72848418070669,-1.64199297674364,1.27336308149752,10,3,10000,0.5,10,13,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.034761859591,2.45606663616574,1.20882314365049,1.68933374851018,0.712745864107907,-1.80088713248069,1.2596613839875,10,3,10000,0.5,10,14,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.039393051901,2.53912740138953,1.1778615648562,1.68834858667424,0.722944364649249,-1.97756847866702,1.36106029289714,10,3,10000,0.5,10,15,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-182.000033363395,2.69219272763735,1.2104779223526,1.66645400023663,0.765173547575613,-2.09645707523976,1.31619325122771,10,3,10000,0.5,10,16,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.755666677965,2.7162543614905,1.19246568252553,1.67158556184058,0.766830228501775,-2.06689262732658,1.14366837303255,10,3,10000,0.5,10,17,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.855905588273,2.5341491308849,1.19719813012747,1.6715615889529,0.777516221443355,-2.20806932311803,1.07583464827587,10,3,10000,0.5,10,18,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.988588465696,2.48266284125805,1.22775944960445,1.65474445730552,0.782124115261456,-2.15559184944112,0.72688943240006,10,3,10000,0.5,10,19,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.98105221634,2.64528232685299,1.1872134712646,1.65908459380327,0.766944772770568,-2.18816459831941,0.780865517690298,10,3,10000,0.5,10,20,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.95351428227,2.63469802475324,1.16910166701791,1.66177573987524,0.805902020664335,-2.22038504673106,0.806364095149114,10,3,10000,0.5,10,21,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.696248879608,2.70068226699799,1.19372172670701,1.64773483172538,0.798835826052237,-2.21462101288803,0.795636103867877,10,3,10000,0.5,10,22,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.745823403133,2.62719402835051,1.23009671175835,1.65503445873724,0.796929108522713,-2.21521977242299,0.745001397531644,10,3,10000,0.5,10,23,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.79933162792,2.53236935468974,1.22431058177457,1.64715271672784,0.784834579024791,-2.28787859091122,0.754824626752526,10,3,10000,0.5,10,24,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.753596122191,2.61908808477805,1.21699801343604,1.65595332148396,0.784785255163844,-2.22384423783483,0.817860150526225,10,3,10000,0.5,10,25,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.4728007548,2.57985605320349,1.20716144550028,1.63991049481683,0.801347933365318,-2.2881473677708,0.866615746469155,10,3,10000,0.5,10,26,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
-181.740471507417,2.7641374637655,1.14139090769605,1.68436505979936,0.75492842703858,-2.11788747817284,1.10089917073384,10,3,10000,0.5,10,27,1,"bspline_B",9,1.43594975290564,1.84347173682917,1.35355130688019,1.48147477871342,1.31995698272258,1.47399634839714,1001,"64a1b5c02bdecc100b37ee56029391d3",600
