"week","B_true","B_filtered_mean"
0.142857142857143,4,4.45413326173711
0.285714285714286,4,4.3413826455477
0.428571428571429,4,4.46693963790471
0.571428571428571,4,4.68343687789686
0.714285714285714,4,4.38858444010596
0.857142857142857,4,4.69763918803082
1,4,4.68252742728747
1.14285714285714,4,4.55525467477438
1.28571428571429,4,4.11639789122147
1.42857142857143,4,4.61672562459255
1.57142857142857,4,4.57587265023916
1.71428571428571,4,4.01697615090102
1.85714285714286,4,4.41976326437639
2,4,4.1033628618126
2.14285714285714,4,4.10780152160979
2.28571428571429,4,3.67161373278004
2.42857142857143,4,3.59828341103117
2.57142857142857,4,3.95253333220204
2.71428571428571,4,3.89731060183663
2.85714285714286,4,4.4544841216572
3,4,4.31693486692925
3.14285714285714,4,4.39098897060017
3.28571428571429,4,4.20705349695929
3.42857142857143,4,3.81280417572302
3.57142857142857,4,4.07877205819217
3.71428571428571,4,3.89072580924112
3.85714285714286,4,3.76390980553461
4,4,3.76449792927893
4.14285714285714,4,3.35986690616715
4.28571428571429,4,3.69860784351119
4.42857142857143,4,3.98579956919989
4.57142857142857,4,4.19719985274558
4.71428571428571,4,4.02077833930575
4.85714285714286,4,3.99561816185692
5,2,3.97783419853171
5.14285714285714,2,3.48949767827879
5.28571428571429,2,3.63710291621108
5.42857142857143,2,3.14209515946461
5.57142857142857,2,2.78062245283079
5.71428571428571,2,2.72602101032246
5.85714285714286,2,2.8100980235182
6,2,2.66435351049323
6.14285714285714,2,2.57647358114181
6.28571428571429,2,2.47749466862743
6.42857142857143,2,2.53555504463826
6.57142857142857,2,2.36176456508413
6.71428571428571,2,2.18141860737821
6.85714285714286,2,2.06627581557434
7,2,2.13686886691527
7.14285714285714,2,2.05600193878276
7.28571428571429,2,2.16720867485128
7.42857142857143,2,2.29980530344571
7.57142857142857,2,2.2094530556526
7.71428571428571,2,2.14923326703906
7.85714285714286,2,2.10929970262146
8,2,2.08122758211984
8.14285714285714,2,2.06447487385429
8.28571428571428,2,2.05217152831543
8.42857142857143,2,2.04241447932298
8.57142857142857,2,2.03683483804606
8.71428571428571,2,2.0344445292187
8.85714285714286,2,2.03150702588772
9,2,2.02951465356489
9.14285714285714,2,2.02780529619979
9.28571428571428,2,2.02426560046018
9.42857142857143,2,2.02368092881652
9.57142857142857,2,2.02313756403917
9.71428571428571,2,2.02237803239567
9.85714285714286,2,2.02271831581665
10,2,2.02282169011426
