"week","gamma_infectious","true_infectious"
0.142857142857143,12.3650915995417,15
0.285714285714286,9.98173074053308,23
0.428571428571429,17.1013063110785,32
0.571428571428571,27.8454568057309,38
0.714285714285714,27.5013727340269,41
0.857142857142857,43.2438567562354,40
1,55.2441433076272,57
1.14285714285714,66.0171388227707,60
1.28571428571429,64.5342792322347,77
1.42857142857143,98.9996372536097,96
1.57142857142857,122.054881224794,110
1.71428571428571,116.132486857366,130
1.85714285714286,162.270294266611,154
2,169.905266465591,167
2.14285714285714,196.552531036402,190
2.28571428571429,183.960243671475,207
2.42857142857143,191.661029439294,234
2.57142857142857,239.975906020965,279
2.71428571428571,258.598629638304,303
2.85714285714286,351.905734612269,312
3,383.686151890171,322
3.14285714285714,440.547625605377,340
3.28571428571429,458.24429377205,347
3.42857142857143,425.682157485217,355
3.57142857142857,480.117177684506,424
3.71428571428571,465.248195820908,446
3.85714285714286,447.514370620395,443
4,440.849604330165,459
4.14285714285714,371.51097799225,458
4.28571428571429,393.331819060233,467
4.42857142857143,414.691514013938,434
4.57142857142857,430.614105359002,428
4.71428571428571,399.158736217729,408
4.85714285714286,379.078092677533,362
5,356.984012001906,362
5.14285714285714,284.964713912202,296
5.28571428571429,269.843605035765,256
5.42857142857143,203.532431884374,199
5.57142857142857,150.814665985065,147
5.71428571428571,123.362717664037,124
5.85714285714286,107.308002898914,98
6,83.5416923446757,86
6.14285714285714,65.8416579339251,58
6.28571428571429,50.7778398466626,43
6.42857142857143,43.2430747590428,33
6.57142857142857,30.7773676232643,23
6.71428571428571,20.3206400871623,13
6.85714285714286,13.404791181222,10
7,12.1000707855705,7
7.14285714285714,8.04813654431763,5
7.28571428571429,8.26420276726433,6
7.42857142857143,8.35377169018563,5
7.57142857142857,5.61446568799051,3
7.71428571428571,3.7492537749279,3
7.85714285714286,2.48779421813294,1
8,1.650805914412,2
8.14285714285714,1.08619928398094,2
8.28571428571428,0.71898173135901,1
8.42857142857143,0.474443477747015,0
8.57142857142857,0.309678618367491,0
8.71428571428571,0.204957960492983,0
8.85714285714286,0.133121845023322,0
9,0.0890640139109323,0
9.14285714285714,0.0584204519868313,0
9.28571428571428,0.0385282294277292,0
9.42857142857143,0.0256439199885719,0
9.57142857142857,0.0171422445952411,0
9.71428571428571,0.0112444240013282,0
9.85714285714286,0.00716581292145051,0
10,0.00467559308336273,0
