"task_id","mif_seed","start_B0","start_sigma_beta","B0_hat","sigma_beta_hat","logLik","logLik_se","successful_pf_evals"
1,20260628,2,0.1,4.50096865560734,0.208571188579173,-197.497890166258,0.0025473281796351,5
2,20260628,4,0.1,4.49824098413584,0.209012478830818,-197.519346626498,0.00814378840443592,5
3,20260628,6,0.1,4.49674738921966,0.214838339908665,-197.516131951999,0.0132551262922754,5
4,20260628,2,0.3,4.46191541239226,0.212140338184965,-197.516708017525,0.0119443743472988,5
5,20260628,4,0.3,4.45754075066788,0.213522223595605,-197.498564153087,0.0143905956135264,5
6,20260628,6,0.3,4.4430444534906,0.212908416945944,-197.52021017088,0.0172591934556137,5
7,20260628,2,0.45,4.50856333221957,0.207800348364384,-197.502441157412,0.0174808826588999,5
8,20260628,4,0.45,4.40573867105192,0.208523149302486,-197.516064740056,0.0184571806679908,5
9,20260628,6,0.45,4.456816927825,0.210571031734706,-197.481172833039,0.00997608318487858,5
