"task_id","simulation_seed","observed_data_md5","model","display_model","n_observation_times","RSS","RMSE","mean_error","AOB","mean_error_through_5","mean_error_after_5"
1,1001,"64a1b5c02bdecc100b37ee56029391d3","constant_B","Constant-B",70,146.492876357593,1.44663588250017,1.04534940404491,1.04534940404491,0.0453494040449103,2.04534940404491
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B","Constant-B",70,245.17189064558,1.8714848598509,1.58191516227993,1.58191516227993,0.58191516227993,2.58191516227993
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B","Constant-B",70,70.0759652192662,1.00054246157676,0.0329426382988304,0.0329426382988304,-0.96705736170117,1.03294263829883
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B","Constant-B",70,103.5823208655,1.21644870049489,0.6926380302407,0.6926380302407,-0.3073619697593,1.6926380302407
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","constant_B","Constant-B",70,98.4991333146016,1.18622530571679,0.63806776750035,0.63806776750035,-0.36193223249965,1.63806776750035
6,1006,"83a6fae95545d773b4ac09416fd8a73d","constant_B","Constant-B",70,73.4945841847674,1.02465732379707,0.2234337289018,0.2234337289018,-0.7765662710982,1.2234337289018
7,1007,"c23f10d0daa427c993e4ece1079ed751","constant_B","Constant-B",70,239.292271763809,1.84890806293803,1.55514019470827,1.55514019470827,0.55514019470827,2.55514019470827
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","constant_B","Constant-B",70,111.460962863013,1.26186349082284,0.76960994631801,0.76960994631801,-0.23039005368199,1.76960994631801
9,1009,"51101219b554b4802624e043f09d6160","constant_B","Constant-B",70,123.84365648151,1.33011093243872,0.87703768025838,0.87703768025838,-0.12296231974162,1.87703768025838
10,1010,"3658851b68a2ae24c2e8e9838200e49c","constant_B","Constant-B",70,71.1885190596346,1.00845368942211,0.1303028921746,0.1303028921746,-0.8696971078254,1.1303028921746
11,1011,"b0091463d341b4712ff6e9dd82a58abf","constant_B","Constant-B",70,126.868214729163,1.34625520149765,0.90133404881846,0.90133404881846,-0.0986659511815402,1.90133404881846
12,1012,"05f564b562cd69afde749fbba393d734","constant_B","Constant-B",70,84.198411179903,1.09673809336012,0.45037145272229,0.45037145272229,-0.54962854727771,1.45037145272229
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","constant_B","Constant-B",70,158.085057605168,1.50278340614611,1.12176555740855,1.12176555740855,0.12176555740855,2.12176555740855
