"task_id","simulation_seed","observed_data_md5","model","display_model","n_observation_times","RSS","RMSE","mean_error","AOB","mean_error_through_5","mean_error_after_5"
1,1001,"64a1b5c02bdecc100b37ee56029391d3","bspline_B","B-spline",70,60.521420588446,0.929834244740473,-0.395141697818892,0.395141697818892,0.0925017288023974,-0.882785124440181
2,1002,"e4e6b4250fb680a6bc44a4c1f239d72e","bspline_B","B-spline",70,48.7190572125316,0.834258072545657,-0.288408427146518,0.288408427146518,0.210856031406185,-0.787672885699221
3,1003,"18b73531d17fff4bf85fd3b8b65c91d6","bspline_B","B-spline",70,70.0092718358727,1.0000662252062,-0.816440622688451,0.816440622688451,-0.635638685213391,-0.997242560163511
4,1004,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","bspline_B","B-spline",70,9.97386612727373,0.377470266137872,0.0180326095735944,0.0180326095735944,-0.0737444407596763,0.109809659906865
5,1005,"cb7e05dbf4c135d548daa37faf8888a1","bspline_B","B-spline",70,62.3225323028593,0.943568699163366,-0.500237827667772,0.500237827667772,-0.0760890908069945,-0.924386564528549
6,1006,"83a6fae95545d773b4ac09416fd8a73d","bspline_B","B-spline",70,23.1988704182519,0.575684318482322,-0.0965015584880884,0.0965015584880884,-0.426742922209407,0.23373980523323
7,1007,"c23f10d0daa427c993e4ece1079ed751","bspline_B","B-spline",70,19.8745926752707,0.532844022678182,0.0588783952761532,0.0588783952761532,0.227527598481174,-0.109770807928867
8,1008,"a0af209d0cf0d730b8b3834e0360ae95","bspline_B","B-spline",70,45.1766677392207,0.803356065330406,0.289837600633185,0.289837600633185,-0.109047913066423,0.688723114332792
9,1009,"51101219b554b4802624e043f09d6160","bspline_B","B-spline",70,11.7918239802094,0.410432245673638,-0.00157115329457603,0.00157115329457603,0.0102732425388563,-0.0134155491280084
10,1010,"3658851b68a2ae24c2e8e9838200e49c","bspline_B","B-spline",70,26.4668118948832,0.614896180492321,-0.282417978111882,0.282417978111882,-0.477050085220669,-0.0877858710030942
11,1011,"b0091463d341b4712ff6e9dd82a58abf","bspline_B","B-spline",70,19.5055227420716,0.527873398540538,0.256249133834308,0.256249133834308,0.00514118143660087,0.507357086232014
12,1012,"05f564b562cd69afde749fbba393d734","bspline_B","B-spline",70,45.1125356098933,0.802785646624955,-0.362028328456753,0.362028328456753,-0.107928775521807,-0.616127881391699
13,1013,"628dd9f33d5358ee7d358fcbbb9e1ec7","bspline_B","B-spline",70,56.9885507627716,0.902287179202874,-0.358260722709081,0.358260722709081,0.0846533140253094,-0.801174759443472
14,1014,"3ee86b29e7e61ffc7287cc8f5b47aeca","bspline_B","B-spline",70,20.4185692282982,0.540086887563978,0.200367518063941,0.200367518063941,-0.160349807439051,0.561084843566932
15,1015,"ae056eafb87645cec401ccb46346269b","bspline_B","B-spline",70,10.9673329699994,0.395823426903595,-0.0236551663354458,0.0236551663354458,-0.0458630441889378,-0.00144728848195372
16,1016,"a714e996eac59ec21285ac81b9fb5223","bspline_B","B-spline",70,29.3310041925168,0.647313174288445,-0.265865235283749,0.265865235283749,-0.162418434211719,-0.36931203635578
17,1017,"c1dff99001cdd2a71a8c5de229779c6a","bspline_B","B-spline",70,24.6211943359092,0.593069429034953,-0.302815817633728,0.302815817633728,-0.543517156959066,-0.0621144783083903
18,1018,"b6d242ccc65d51d758e56f6a2b2246d6","bspline_B","B-spline",70,45.4562582595224,0.805838146275775,-0.499564516218791,0.499564516218791,-0.447299581479146,-0.551829450958435
19,1019,"13d489a8a65aa7a169791da7e2e871a6","bspline_B","B-spline",70,98.5756180139259,1.18668576905795,-0.672222007226978,0.672222007226978,0.0756461120263446,-1.4200901264803
20,1020,"714f6bb12c5d63009433470452ca002b","bspline_B","B-spline",70,12.577986855834,0.423893296139387,-0.0648680081425898,0.0648680081425898,-0.187746243858326,0.0580102275731462
21,1021,"c46a7b2a22c4a8bed8a3c2537dbc0243","bspline_B","B-spline",70,34.1651484845187,0.698622608980585,-0.365833469751545,0.365833469751545,-0.165701852470433,-0.565965087032656
22,1022,"37fb1b826b530c406841fb3dc0dd2a19","bspline_B","B-spline",70,45.7750014026278,0.808658513506233,-0.439723591557923,0.439723591557923,-0.104671527271226,-0.77477565584462
23,1023,"5391b651cef3ef3752fc04bfb4f6d8ab","bspline_B","B-spline",70,69.2647807015315,0.994734571212209,-0.470706468348399,0.470706468348399,0.0120223142755657,-0.953435250972363
24,1024,"f17101a77a91a5858651ca092461a15e","bspline_B","B-spline",70,15.0167889819775,0.463169037053852,-0.202661058663596,0.202661058663596,-0.291260704184848,-0.114061413142344
25,1025,"5bffd9597ff51651a7b3c018b0060e43","bspline_B","B-spline",70,83.7983371026775,1.09412938058843,-0.635071087558548,0.635071087558548,-0.0594708933278019,-1.21067128178929
26,1026,"7d638818fac5c183766d7bd337251990","bspline_B","B-spline",70,57.175329507135,0.903764583025082,-0.472556388250586,0.472556388250586,-0.0647667488664895,-0.880346027634682
27,1027,"febf6d542123ef85142ab3d7c88fd4f9","bspline_B","B-spline",70,13.6718050547709,0.441940607754528,-0.154687614242214,0.154687614242214,-0.173815974638993,-0.135559253845435
28,1028,"fa30cb31cb12a8463966a31a9ac1f66d","bspline_B","B-spline",70,34.0024201965148,0.69695685659172,-0.213898721755569,0.213898721755569,0.0399207313650139,-0.467718174876153
29,1029,"f88e4728f80479179227d46e3ae73be8","bspline_B","B-spline",70,28.9654923133978,0.643267244101745,-0.115032368088868,0.115032368088868,-0.40329215133609,0.173227415158353
30,1030,"6d8fcd9da06daac4afecfcdf2af73043","bspline_B","B-spline",70,22.7796752796479,0.570459404836486,0.111409708771652,0.111409708771652,-0.121539552157531,0.344358969700835
31,1031,"1f4f623a1599fc68865ccca5c8e38092","bspline_B","B-spline",70,110.324596246024,1.25541453737699,-0.840150090855399,0.840150090855399,-0.137520070696111,-1.54278011101469
32,1032,"8b18f38744449f8e8c5016a5c62a9db0","bspline_B","B-spline",70,21.2607300411909,0.551112252516813,-0.230013287753432,0.230013287753432,-0.0987830881814081,-0.361243487325456
33,1033,"1c656b251cec47b7f90e7590d6f84c85","bspline_B","B-spline",70,15.9286776769809,0.477024672572168,0.178172900430261,0.178172900430261,0.0297087573900157,0.326637043470507
34,1034,"6295649cce30d443915163e1f486574c","bspline_B","B-spline",70,25.0560414809373,0.598283753521417,-0.291037090479927,0.291037090479927,-0.0278830291300363,-0.554191151829817
35,1035,"05c8b3ee0cc2e85807ddffab0af38be8","bspline_B","B-spline",70,29.2853087599556,0.64680874585433,-0.0767973519879897,0.0767973519879897,-0.295339388772883,0.141744684796903
