"task_id","simulation_seed","observed_data_md5","model","display_model","n_observation_times","RSS","RMSE","mean_error","AOB","mean_error_through_5","mean_error_after_5"
181,1181,"80dfab2294dc854a8695d1c1ce6265d9","gamma_noise","Gamma-noise",70,13.4983501582354,0.439128197328613,0.14163863114302,0.14163863114302,-0.113539606615768,0.396816868901809
182,1182,"941f9c48ec56eb19b25786187b006f10","gamma_noise","Gamma-noise",70,12.591633161248,0.42412318226208,-0.0578346491267616,0.0578346491267616,0.0472502435183879,-0.162919541771911
183,1183,"2dc5d7e9b3e15c740d490d788211573a","gamma_noise","Gamma-noise",70,29.7278279267828,0.651677263756299,-0.379565513284251,0.379565513284251,-0.233630994602849,-0.525500031965653
184,1184,"77c6e00a79e8c3b3df80e1c4b0ff8023","gamma_noise","Gamma-noise",70,15.776126139048,0.474734905560807,-0.171972148034446,0.171972148034446,-0.223053823338627,-0.120890472730264
185,1185,"52e3986fb55b179cf59e4540a86a982d","gamma_noise","Gamma-noise",70,27.1443078586016,0.62271648970575,-0.275361729927187,0.275361729927187,-0.621820093418709,0.0710966335643348
186,1186,"ccc0636a72fb6ba022578cc100c8cb7c","gamma_noise","Gamma-noise",70,13.1988352364677,0.434228959297276,-0.153922331730752,0.153922331730752,-0.173657160119415,-0.134187503342089
187,1187,"7409506000aab5f15ec58cc3dd3fb72e","gamma_noise","Gamma-noise",70,25.2496833547915,0.600591177267288,0.405613841504275,0.405613841504275,0.210726967808525,0.600500715200025
188,1188,"0e1b1e567b5a85241d50f71772de9be1","gamma_noise","Gamma-noise",70,23.885705818561,0.5841441336148,-0.093722917661267,0.093722917661267,-0.17592255670313,-0.0115232786194042
189,1189,"02453cd2773e7494e1a4738ba6f3c7a1","gamma_noise","Gamma-noise",70,40.0343717287269,0.756253658585973,-0.34498221468769,0.34498221468769,-0.361583549630157,-0.328380879745223
190,1190,"e11e338409fdbfff7af641a286a93437","gamma_noise","Gamma-noise",70,29.8151215406564,0.652633363936952,0.149590792935797,0.149590792935797,-0.0537758756811537,0.352957461552747
191,1191,"88ccda7d997701880c9d0c636b220b1e","gamma_noise","Gamma-noise",70,23.0113221467474,0.573352573487696,-0.00107487423850539,0.00107487423850539,-0.00831395817137971,0.00616420969436877
192,1192,"9a5e00955ca9971800073dd3e4c28ad7","gamma_noise","Gamma-noise",70,11.6622819948939,0.408171567479269,-0.165345543787114,0.165345543787114,-0.15145305400781,-0.179238033566418
193,1193,"50b5e6cbc49ffa79634e56edd10b8bf0","gamma_noise","Gamma-noise",70,15.9720503755999,0.477673683829092,0.240553771579721,0.240553771579721,0.0267722124765189,0.454335330682924
194,1194,"1f0b118441ef88f9f7e1c86a5d22c593","gamma_noise","Gamma-noise",70,19.400360599209,0.526448486140979,-0.0651661938574239,0.0651661938574239,-0.331292291384173,0.200959903669325
195,1195,"4b29886fa0376b89caa9cc697a80dc98","gamma_noise","Gamma-noise",70,13.0683584161834,0.43207734784053,-0.0222151293285237,0.0222151293285237,-0.159726913457026,0.115296654799978
196,1196,"4a7772e1b5862480e3537a3124e41c07","gamma_noise","Gamma-noise",70,29.1687910072528,0.645520731184774,-0.176003017515759,0.176003017515759,-0.715174999941957,0.36316896491044
197,1197,"80e2caf0dbc5ddb7f96d7faf9fa1bf49","gamma_noise","Gamma-noise",70,24.0056123664407,0.585608503627279,-0.0899287429799073,0.0899287429799073,-0.3841477694553,0.204290283495486
198,1198,"9cf5a39df21d5a234b9a57056ebe1360","gamma_noise","Gamma-noise",70,15.24698803211,0.466705597507067,0.112174203019832,0.112174203019832,-0.252124046240083,0.476472452279747
199,1199,"f24eafb51b8268645a90a1a9cbcc2a5c","gamma_noise","Gamma-noise",70,7.77694784295805,0.33331554854132,0.0610893442459497,0.0610893442459497,0.139166937306445,-0.0169882488145452
200,1200,"2276182a83b89b4d2f8bfc96d14895ca","gamma_noise","Gamma-noise",70,20.0357621561581,0.535000162298481,0.041153385813991,0.041153385813991,-0.0600545992604869,0.142361370888469
