"task_id","cutoff_week","n_observation_times","gamma_RMSE","bspline_RMSE","delta_RMSE_gamma_minus_bspline","winner_lower_RMSE"
1,8,56,0.497622890688871,0.582347520068294,-0.0847246293794228,"gamma_noise"
2,8,56,0.562691652493849,0.573823017413146,-0.0111313649192966,"gamma_noise"
3,8,56,0.803613268427056,0.918677482061285,-0.115064213634228,"gamma_noise"
4,8,56,0.530128316620461,0.411807892990576,0.118320423629885,"bspline_B"
5,8,56,0.530355542340332,0.596845460049615,-0.0664899177092838,"gamma_noise"
6,8,56,0.551017585631493,0.576802824510304,-0.0257852388788111,"gamma_noise"
7,8,56,0.599953627755539,0.47561838176095,0.124335245994589,"bspline_B"
8,8,56,0.467179330328298,0.467237283101475,-5.79527731771057e-05,"gamma_noise"
9,8,56,0.490732482002548,0.420350833706987,0.070381648295561,"bspline_B"
10,8,56,0.638467927226729,0.574892059165628,0.0635758680611009,"bspline_B"
11,8,56,0.524611176871164,0.484264061963027,0.0403471149081368,"bspline_B"
12,8,56,0.744581789206827,0.781728133180449,-0.0371463439736215,"gamma_noise"
13,8,56,0.619895453939094,0.56296865868645,0.0569267952526439,"bspline_B"
14,8,56,0.421075596083124,0.442965399459471,-0.0218898033763474,"gamma_noise"
15,8,56,0.495814188689538,0.398256037829526,0.0975581508600125,"bspline_B"
16,8,56,0.519584542540425,0.508864148672863,0.0107203938675614,"bspline_B"
17,8,56,0.62101945652709,0.635228860362615,-0.014209403835525,"gamma_noise"
18,8,56,0.565581249993429,0.529911372070534,0.0356698779228947,"bspline_B"
19,8,56,0.54417886935964,0.876279611280637,-0.332100741920997,"gamma_noise"
20,8,56,0.472210538295247,0.374165994109934,0.0980445441853126,"bspline_B"
21,8,56,0.4728828136525,0.60206390190358,-0.12918108825108,"gamma_noise"
22,8,56,0.380442432814226,0.493101384760349,-0.112658951946123,"gamma_noise"
23,8,56,0.585657017063528,0.675137126830263,-0.0894801097667348,"gamma_noise"
24,8,56,0.440013512636515,0.492285819644139,-0.0522723070076235,"gamma_noise"
25,8,56,0.439262477497115,0.758132006273408,-0.318869528776293,"gamma_noise"
26,8,56,0.40079097728286,0.542708851110747,-0.141917873827887,"gamma_noise"
27,8,56,0.41527867490378,0.398450257826335,0.0168284170774447,"bspline_B"
28,8,56,0.605159168624292,0.562349082938747,0.0428100856855446,"bspline_B"
29,8,56,0.754871410411183,0.673509417748392,0.0813619926627916,"bspline_B"
30,8,56,0.606912412142999,0.534314791521698,0.0725976206213007,"bspline_B"
31,8,56,0.804454142417266,0.985006805726563,-0.180552663309297,"gamma_noise"
32,8,56,0.509178567814236,0.426628305797757,0.082550262016479,"bspline_B"
33,8,56,0.546532460141039,0.456937321239783,0.0895951389012564,"bspline_B"
34,8,56,0.374644364160917,0.465101308335281,-0.0904569441743639,"gamma_noise"
35,8,56,0.579857477145028,0.677101870063536,-0.0972443929185074,"gamma_noise"
36,8,56,0.505679351063943,0.433011176860911,0.0726681742030314,"bspline_B"
37,8,56,0.765221095481954,0.803344220712017,-0.0381231252300624,"gamma_noise"
38,8,56,0.844505537949235,0.708368267554813,0.136137270394422,"bspline_B"
39,8,56,0.563468567029886,0.472826615863708,0.0906419511661786,"bspline_B"
40,8,56,0.410349848259167,0.471868519371972,-0.0615186711128056,"gamma_noise"
41,8,56,0.770376005815462,0.598128229328728,0.172247776486734,"bspline_B"
42,8,56,0.490083928361046,0.513556533521123,-0.0234726051600766,"gamma_noise"
43,8,56,0.565339210979515,0.461809542410804,0.10352966856871,"bspline_B"
44,8,56,0.42857335309397,0.34901391099718,0.07955944209679,"bspline_B"
45,8,56,0.491821232524917,0.510126823403297,-0.0183055908783797,"gamma_noise"
46,8,56,0.587394367282383,0.440544081905035,0.146850285377348,"bspline_B"
47,8,56,0.504814016592812,0.46778540326862,0.0370286133241922,"bspline_B"
48,8,56,0.402710530815754,0.696778422188468,-0.294067891372714,"gamma_noise"
49,8,56,0.589950829658191,0.816172732903965,-0.226221903245774,"gamma_noise"
50,8,56,0.591203965941677,0.484200191179711,0.107003774761966,"bspline_B"
51,8,56,0.445265833152057,0.459740016835479,-0.0144741836834215,"gamma_noise"
52,8,56,0.728418239935001,0.675632213006708,0.0527860269282936,"bspline_B"
53,8,56,0.610467079186999,0.578648862378436,0.0318182168085626,"bspline_B"
54,8,56,0.527948229033407,0.601474149671703,-0.0735259206382955,"gamma_noise"
55,8,56,0.632064254981213,0.681956479844315,-0.0498922248631022,"gamma_noise"
56,8,56,0.448854609558726,0.735240606273084,-0.286385996714358,"gamma_noise"
57,8,56,0.817800315535341,0.862239166718247,-0.044438851182906,"gamma_noise"
58,8,56,0.684874173083185,0.668345585470724,0.0165285876124615,"bspline_B"
59,8,56,0.488963796407264,0.469828696516908,0.0191350998903556,"bspline_B"
60,8,56,0.54143632826947,0.43807334908425,0.10336297918522,"bspline_B"
61,8,56,0.499120082311037,0.411609696550267,0.08751038576077,"bspline_B"
62,8,56,0.513197337233383,0.435335845806301,0.0778614914270819,"bspline_B"
63,8,56,0.349391590165746,0.542322876725071,-0.192931286559325,"gamma_noise"
64,8,56,0.499085592796249,0.445796932585752,0.0532886602104969,"bspline_B"
65,8,56,0.408211271943687,0.596885730656745,-0.188674458713058,"gamma_noise"
66,8,56,0.500659730561471,0.503479726526441,-0.0028199959649704,"gamma_noise"
67,8,56,0.434129970393801,0.764974919570216,-0.330844949176415,"gamma_noise"
68,8,56,0.48663688789243,0.719974322497998,-0.233337434605568,"gamma_noise"
69,8,56,0.95246018298707,0.731192643926059,0.221267539061011,"bspline_B"
