"model","display_model","n_tasks","mean_RSS","mean_RMSE","median_RMSE","RMSE_Q1","RMSE_Q3","RMSE_IQR","mean_AOB","mean_error_overall","mean_error_through_5","mean_error_after_5"
"gamma_noise","Gamma-noise",200,20.0546262940652,0.521755255106023,0.503050343564299,0.441757066586771,0.579032898595386,0.137275832008615,0.160384238818698,-0.000474068400603314,-0.0869071099337938,0.0859589731325871
"bspline_B","B-spline",200,39.7365942806526,0.712764112697815,0.64671112205646,0.503759606376039,0.904634114980729,0.40087450860469,0.328859434185659,-0.290793845204505,-0.172370741753301,-0.40921694865571
"constant_B","Constant-B",200,100.528166832339,1.18583153801711,1.13631098962279,1.06201967210333,1.26950209767894,0.207482425575606,0.579120069856973,0.576222503472259,-0.423777496527741,1.57622250347226
