"task_id","RSS","RMSE","bias_all","bias_before","bias_after"
12,41.1171002486003,0.766411864736302,-0.166518871499287,-0.0618899313966289,-0.265335092707352
13,24.6391525310613,0.593285675961317,0.321538826205453,0.157642310411265,0.476329980011076
14,23.7446048796955,0.582416209543061,0.284949237398656,-0.0058841839495582,0.559625246449748
15,19.0573319663687,0.521773513624017,0.119482829214272,0.0446355450017292,0.190171930970563
16,17.4927424640255,0.499896310163068,0.188466823891371,-0.00822278283908006,0.374229230247908
17,24.2083137755797,0.588075721261176,-0.266221721636753,-0.471241580889718,-0.0725918545645072
18,21.4677004761652,0.553788258609541,-0.028360003651828,-0.408435189231568,0.330599893840148
19,28.0904065618097,0.63347574721655,-0.117973190668848,0.141302545596327,-0.362844719363735
20,20.3875304165783,0.539676231200289,0.12910964276938,-0.110461057146568,0.355370859356663
21,15.9950106282163,0.478016894922828,-0.0328761757038274,-0.017746998293447,-0.0471648432580755
22,11.0321512604045,0.396991386383787,0.0886063203446052,-0.00591579448164856,0.177877206569401
23,25.7131241870213,0.606077837846655,0.191572799849295,0.198835254113367,0.184713815266561
24,13.5725755227667,0.440333891540868,-0.0372675879967032,-0.227581983538361,0.142473785570418
25,20.9668344964734,0.547289874830951,-0.0962659333507396,0.0248516216455924,-0.21065473529172
26,13.4472326524062,0.438295931541468,0.152414771353075,0.0862248588626312,0.214927466482938
27,13.1879661267487,0.434050130856345,0.0963496830217199,-0.098129369519737,0.280024343755318
28,27.0090921372896,0.62116356411967,0.18384284905199,0.249190765140954,0.122125372745746
29,32.0320636819177,0.676462053438093,-0.159507309783239,-0.501095772675651,0.163104016281816
30,23.2729854114844,0.576603173910847,0.174719515493078,0.0820408889447897,0.262249329455351
31,69.0701669308425,0.993336131649608,-0.517712001027625,-0.161715484461086,-0.853930933340468
32,19.6879019593396,0.530335499732274,0.140807722429821,0.0416712319558768,0.234436630099657
33,20.8765579026948,0.546110374802629,0.408723160099846,0.201257396183366,0.604663048243188
34,9.02023345143657,0.358971416519011,0.1499939181899,0.11463049151421,0.183392710050273
35,20.3300696177126,0.538915175113229,0.0381521713771193,-0.203062090017036,0.2659656404716
36,18.0083114722275,0.507209613927411,-0.00675060573654872,-0.295565436670972,0.266018956812629
37,42.746721344443,0.781452140426883,-0.183432656188379,-0.0654109921449618,-0.294897561118274
38,47.7381095087486,0.825816561339213,-0.235680880158824,-0.679041844654111,0.18304891964228
39,25.3113376845363,0.601323987838934,0.128413120409392,0.0327813989936454,0.218731968413152
40,13.7971654931469,0.443962120217269,0.0246656648072082,-0.0580154985029949,0.102753430155733
41,37.7283231578749,0.734149879188506,-0.0741668529528683,-0.417864757741049,0.250436723791525
42,26.3492304784838,0.61352879171564,0.114038156310361,-0.172620877491987,0.384771688234801
43,25.7338577546417,0.606322141565046,-0.04923895574377,-0.182708513298356,0.076815626391117
44,15.8120661968421,0.475275351722438,0.204301683524182,0.0323352700727162,0.366714407339455
45,18.1824898854839,0.509656605477564,-0.0465149397181733,-0.0895023364465691,-0.00591573169691049
46,24.7667673540529,0.594820109109263,0.419055687251154,0.289976442141812,0.540963863187754
47,18.6669726455045,0.516402011801776,0.374993570486488,0.24699615032888,0.495880022857563
48,14.5400399904646,0.455757454142702,-0.0234587976881147,0.0146313103985809,-0.0594327886588828
49,34.4130340871233,0.701152460363073,-0.38109241279275,-0.436538451491625,-0.328726709577146
50,24.0274844762624,0.585875224115443,0.391724497441202,0.167813590924269,0.603195909151639
51,16.4158884105328,0.484265104647278,0.111912680642363,-0.0588895051594574,0.27322585612186
52,38.3299077285562,0.739979804054101,0.196384113612751,0.279815340170831,0.117587955196787
53,26.6571118118003,0.617102813982984,-0.0406803440042139,-0.379042527380054,0.278883940295191
54,29.7227294175149,0.651621377987411,0.00215706124558574,0.0487205750991565,-0.0418195907272311
55,24.9201685662631,0.596659373587202,-0.0449507976731966,-0.498288569120099,0.383201542026655
56,15.5203653450775,0.470871006677708,0.0855500228824676,0.1189720966341,0.0539847310059256
57,44.088212144196,0.793619305498514,-0.226922600455108,-0.93611518180887,0.442870393045666
58,27.3604505721299,0.625190834547226,-0.0162216417877037,-0.29512628506827,0.247188299088388
59,17.0333577692937,0.493288640066322,-0.0365663539745302,-0.27873490472468,0.192148388400612
60,17.7843295613979,0.504045484928803,0.183343362134965,-0.0617716547907759,0.414840878120386
61,21.7340453258,0.557213030893161,0.133799501261349,-0.0846774067864947,0.340138803306534
62,19.8924739157128,0.533083669601589,-0.0187022831185956,-0.113581786231154,0.0709061364877097
63,12.9141575194773,0.429520621814554,-0.0541804122133607,0.00670010921173623,-0.111678682448174
64,18.9340096125993,0.52008254307231,0.0586296371600767,-0.323937507954426,0.419943051990441
65,17.7073600174832,0.502953562433,-0.0160675472992356,0.049474151507083,-0.0779680406163142
66,21.8964943915282,0.559291572201939,0.199928483873983,0.0763294053509004,0.316660946923561
67,15.6329791214209,0.472576208841659,0.092545322074617,0.168132254682976,0.0211576635000555
68,20.8312503097363,0.545517451727339,0.00453291075730757,0.0981003303434124,-0.0838363188517914
69,63.4886793479425,0.952355570961831,-0.303374878469371,-0.263863975519921,-0.340690731254962
70,19.4283048051585,0.526827496911716,-0.155873741897917,-0.328100893056472,0.00678523419627333
71,15.5791264882768,0.471761539162029,0.140873773998639,0.0895553210391462,0.189341201793715
72,16.964034597655,0.492283811835278,-0.0283168078651866,0.0932004832858156,-0.143083138396689
73,12.5653442392423,0.423680206881867,0.18854162132946,0.0458721151522133,0.323285043830193
74,19.9889755325783,0.534375142874879,0.0474873473651761,-0.208457572992072,0.289213105480355
75,22.1636559442858,0.562693216901483,-0.159615887332909,-0.274931186566794,-0.0507069936120183
76,22.3923963799056,0.565589406597926,0.246702510771745,0.0398086415254235,0.442102276171049
77,12.6278988540338,0.424733510636523,0.0408559813117432,-0.0357565739353929,0.113212283489594
78,27.547848256911,0.627328215039339,0.132292692496693,-0.197452213717022,0.44371843725409
79,18.6429097672081,0.516069067459664,0.056355906703441,-0.214922282648332,0.312563085535671
80,20.6227937078254,0.542781114891832,-0.017479132997071,0.0627178534944535,-0.0932207313501775
81,22.5037818804294,0.566994354726613,0.138233973717505,0.113661932642411,0.161440901399539
82,27.8538952070857,0.630803288412999,-0.191020078882606,0.0316420921380703,-0.401312129291023
