"quantity","mean","median","sd"
"RSS",24.1442599298978,21.7736235802768,10.5064417515423
"RMSE",0.575587808484538,0.557719919400918,0.116983328806284
"bias_all",0.0239993713362997,0.0151269896676743,0.206334603773008
"bias_before",-0.0902174251977739,-0.0370230202081152,0.252137864674896
"bias_after",0.131870790285147,0.160882856098608,0.284791586063408
"logLik_gap",0.0148667751483509,0.0105355957174993,0.0160740655053142
