task_id,simulation_seed,week,B_filtered_mean,B_true
1,1001,0.142857142857143,4.33471328487607,4
1,1001,0.285714285714286,4.28954139489446,4
1,1001,0.428571428571429,4.32152049059113,4
1,1001,0.571428571428571,4.25434386403357,4
1,1001,0.714285714285714,4.48765989887085,4
1,1001,0.857142857142857,4.2173995118354,4
1,1001,1,4.24951027345819,4
1,1001,1.14285714285714,4.2617037210577,4
1,1001,1.28571428571429,4.20765305787729,4
1,1001,1.42857142857143,4.54588375114786,4
1,1001,1.57142857142857,4.22795419901749,4
1,1001,1.71428571428571,4.53042314199913,4
1,1001,1.85714285714286,4.93708416357798,4
1,1001,2,4.73804857613905,4
1,1001,2.14285714285714,4.63057239086116,4
1,1001,2.28571428571429,4.27415241263228,4
1,1001,2.42857142857143,3.99066185998384,4
1,1001,2.57142857142857,3.55143304271833,4
1,1001,2.71428571428571,3.67678076584368,4
1,1001,2.85714285714286,3.84718511259714,4
1,1001,3,3.91237370934236,4
1,1001,3.14285714285714,4.15362057350656,4
1,1001,3.28571428571429,4.1309103308823,4
1,1001,3.42857142857143,4.30923397223356,4
1,1001,3.57142857142857,4.44108141987881,4
1,1001,3.71428571428571,4.39888697440058,4
1,1001,3.85714285714286,4.09029339252134,4
1,1001,4,3.84661710494512,4
1,1001,4.14285714285714,4.11205189505243,4
1,1001,4.28571428571429,4.0389715823414,4
1,1001,4.42857142857143,3.9001059758382,4
1,1001,4.57142857142857,3.91705761409283,4
1,1001,4.71428571428571,4.29773400228877,4
1,1001,4.85714285714286,3.88819081697036,4
1,1001,5,3.77199829002139,2
1,1001,5.14285714285714,3.6438010484787,2
1,1001,5.28571428571429,3.44267172880356,2
1,1001,5.42857142857143,3.07500740268464,2
1,1001,5.57142857142857,2.91997141894047,2
1,1001,5.71428571428571,2.67028526751833,2
1,1001,5.85714285714286,2.4884200539637,2
1,1001,6,2.48603149135275,2
1,1001,6.14285714285714,2.54149808318093,2
1,1001,6.28571428571429,2.42636405830678,2
1,1001,6.42857142857143,2.3828701986999,2
1,1001,6.57142857142857,2.27029619041297,2
1,1001,6.71428571428571,2.44022634119633,2
1,1001,6.85714285714286,2.37307256165074,2
1,1001,7,2.35057827346402,2
1,1001,7.14285714285714,2.36137609362709,2
1,1001,7.28571428571429,2.26446875336013,2
1,1001,7.42857142857143,2.19696803062424,2
1,1001,7.57142857142857,2.14911867913959,2
1,1001,7.71428571428571,2.11770929829241,2
1,1001,7.85714285714286,2.09672717033996,2
1,1001,8,2.08114748463464,2
1,1001,8.14285714285714,2.07141067495664,2
1,1001,8.28571428571428,2.06502651535443,2
1,1001,8.42857142857143,2.05935642547717,2
1,1001,8.57142857142857,2.05782379332582,2
1,1001,8.71428571428571,2.05584662504761,2
1,1001,8.85714285714286,2.05585671522733,2
1,1001,9,2.05508860838189,2
1,1001,9.14285714285714,2.05528797879667,2
1,1001,9.28571428571428,2.05474524870352,2
1,1001,9.42857142857143,2.05371537619122,2
1,1001,9.57142857142857,2.05344074874092,2
1,1001,9.71428571428571,2.05207945871023,2
1,1001,9.85714285714286,2.05157700510732,2
1,1001,10,2.05257699253085,2
2,1002,0.142857142857143,4.61130324435792,4
2,1002,0.285714285714286,4.65624099897933,4
2,1002,0.428571428571429,4.53307688188157,4
2,1002,0.571428571428571,4.68897738347667,4
2,1002,0.714285714285714,4.70579102017027,4
2,1002,0.857142857142857,4.75285906837652,4
2,1002,1,4.44625984705885,4
2,1002,1.14285714285714,4.09105218962945,4
2,1002,1.28571428571429,4.1040615562408,4
2,1002,1.42857142857143,4.43077547837953,4
2,1002,1.57142857142857,4.27752802489772,4
2,1002,1.71428571428571,3.98636958233252,4
2,1002,1.85714285714286,3.45896200893452,4
2,1002,2,3.67783562138543,4
2,1002,2.14285714285714,3.55689984114387,4
2,1002,2.28571428571429,4.16345403143825,4
2,1002,2.42857142857143,4.00952691821651,4
2,1002,2.57142857142857,4.92254469895967,4
2,1002,2.71428571428571,4.8060372486706,4
2,1002,2.85714285714286,4.41756425556803,4
2,1002,3,4.69723518070012,4
2,1002,3.14285714285714,4.91328711677521,4
2,1002,3.28571428571429,4.39979126447581,4
2,1002,3.42857142857143,5.12988560068578,4
2,1002,3.57142857142857,4.295530128,4
2,1002,3.71428571428571,4.06657073292907,4
2,1002,3.85714285714286,3.89553509466908,4
2,1002,4,4.40289369487194,4
2,1002,4.14285714285714,3.78967495796113,4
2,1002,4.28571428571429,4.6052651390542,4
2,1002,4.42857142857143,4.46360485025463,4
2,1002,4.57142857142857,3.88253957659893,4
2,1002,4.71428571428571,4.14431839165002,4
2,1002,4.85714285714286,4.21066631450669,4
2,1002,5,3.99987876657427,2
2,1002,5.14285714285714,3.72539274334209,2
2,1002,5.28571428571429,3.24894265855762,2
2,1002,5.42857142857143,2.88529288312786,2
2,1002,5.57142857142857,2.85390447197389,2
2,1002,5.71428571428571,2.68741872715279,2
2,1002,5.85714285714286,2.42368441513773,2
2,1002,6,2.69939974544644,2
2,1002,6.14285714285714,2.41100715613449,2
2,1002,6.28571428571429,2.38954139265406,2
2,1002,6.42857142857143,2.27721742609195,2
2,1002,6.57142857142857,2.30390137596734,2
2,1002,6.71428571428571,2.15856046016717,2
2,1002,6.85714285714286,2.27426885738909,2
2,1002,7,2.16742480920058,2
2,1002,7.14285714285714,2.26493878963429,2
