"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9981,14,5,9,5
0.285714285714286,"1",9971,19,10,10,2
0.428571428571429,"1",9957,25,18,14,5
0.571428571428571,"1",9943,33,24,14,10
0.714285714285714,"1",9926,35,39,17,8
0.857142857142857,"1",9916,29,55,10,8
1,"1",9902,36,62,14,5
1.14285714285714,"1",9871,54,75,31,12
1.28571428571429,"1",9839,68,93,32,18
1.42857142857143,"1",9780,97,123,59,35
1.57142857142857,"1",9705,133,162,75,38
1.71428571428571,"1",9621,154,225,84,29
1.85714285714286,"1",9548,162,290,73,28
2,"1",9431,206,363,117,63
2.14285714285714,"1",9299,249,452,132,132
2.28571428571429,"1",9181,267,552,118,67
2.42857142857143,"1",9030,310,660,151,60
2.57142857142857,"1",8860,340,800,170,108
2.71428571428571,"1",8685,385,930,175,65
2.85714285714286,"1",8499,423,1078,186,113
3,"1",8272,475,1253,227,78
3.14285714285714,"1",8028,533,1439,244,60
3.28571428571429,"1",7788,559,1653,240,126
3.42857142857143,"1",7548,572,1880,240,123
3.57142857142857,"1",7310,566,2124,238,206
3.71428571428571,"1",7119,535,2346,191,144
3.85714285714286,"1",6906,527,2567,213,157
4,"1",6683,551,2766,223,104
4.14285714285714,"1",6475,534,2991,208,87
4.28571428571429,"1",6284,497,3219,191,88
4.42857142857143,"1",6108,469,3423,176,79
4.57142857142857,"1",5956,431,3613,152,82
4.71428571428571,"1",5838,387,3775,118,74
4.85714285714286,"1",5717,350,3933,121,57
5,"1",5617,310,4073,100,26
5.14285714285714,"1",5579,215,4206,38,26
5.28571428571429,"1",5545,171,4284,34,13
5.42857142857143,"1",5520,132,4348,25,19
5.57142857142857,"1",5497,115,4388,23,10
5.71428571428571,"1",5477,83,4440,20,17
5.85714285714286,"1",5466,56,4478,11,4
6,"1",5459,44,4497,7,2
6.14285714285714,"1",5448,34,4518,11,5
6.28571428571429,"1",5444,28,4528,4,3
6.42857142857143,"1",5442,20,4538,2,0
6.57142857142857,"1",5436,17,4547,6,0
6.71428571428571,"1",5431,18,4551,5,5
6.85714285714286,"1",5431,9,4560,0,0
7,"1",5430,6,4564,1,0
7.14285714285714,"1",5430,3,4567,0,0
7.28571428571429,"1",5430,2,4568,0,0
7.42857142857143,"1",5430,2,4568,0,0
7.57142857142857,"1",5430,2,4568,0,0
7.71428571428571,"1",5430,2,4568,0,0
7.85714285714286,"1",5430,1,4569,0,0
8,"1",5430,1,4569,0,0
8.14285714285714,"1",5430,0,4570,0,0
8.28571428571428,"1",5430,0,4570,0,0
8.42857142857143,"1",5430,0,4570,0,0
8.57142857142857,"1",5430,0,4570,0,0
8.71428571428571,"1",5430,0,4570,0,0
8.85714285714286,"1",5430,0,4570,0,0
9,"1",5430,0,4570,0,0
9.14285714285714,"1",5430,0,4570,0,0
9.28571428571428,"1",5430,0,4570,0,0
9.42857142857143,"1",5430,0,4570,0,0
9.57142857142857,"1",5430,0,4570,0,0
9.71428571428571,"1",5430,0,4570,0,0
9.85714285714286,"1",5430,0,4570,0,0
10,"1",5430,0,4570,0,0
