"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9981,12,7,9,7
0.285714285714286,"1",9962,26,12,19,10
0.428571428571429,"1",9944,34,22,18,12
0.571428571428571,"1",9921,34,45,23,14
0.714285714285714,"1",9904,39,57,17,8
0.857142857142857,"1",9880,48,72,24,11
1,"1",9858,51,91,22,12
1.14285714285714,"1",9836,49,115,22,6
1.28571428571429,"1",9810,52,138,26,10
1.42857142857143,"1",9778,55,167,32,20
1.57142857142857,"1",9738,77,185,40,15
1.71428571428571,"1",9684,98,218,54,40
1.85714285714286,"1",9616,125,259,68,32
2,"1",9536,159,305,80,64
2.14285714285714,"1",9459,165,376,77,24
2.28571428571429,"1",9370,189,441,89,56
2.42857142857143,"1",9267,199,534,103,50
2.57142857142857,"1",9145,245,610,122,96
2.71428571428571,"1",9004,283,713,141,56
2.85714285714286,"1",8861,309,830,143,88
3,"1",8680,351,969,181,123
3.14285714285714,"1",8508,370,1122,172,47
3.28571428571429,"1",8325,402,1273,183,154
3.42857142857143,"1",8134,441,1425,191,69
3.57142857142857,"1",7913,478,1609,221,87
3.71428571428571,"1",7682,528,1790,231,193
3.85714285714286,"1",7454,521,2025,228,86
4,"1",7229,534,2237,225,94
4.14285714285714,"1",6993,565,2442,236,54
4.28571428571429,"1",6800,535,2665,193,119
4.42857142857143,"1",6604,512,2884,196,61
4.57142857142857,"1",6426,488,3086,178,78
4.71428571428571,"1",6248,486,3266,178,112
4.85714285714286,"1",6083,447,3470,165,35
5,"1",5963,405,3632,120,19
5.14285714285714,"1",5897,324,3779,66,46
5.28571428571429,"1",5854,258,3888,43,11
5.42857142857143,"1",5815,190,3995,39,25
5.57142857142857,"1",5777,153,4070,38,22
5.71428571428571,"1",5758,109,4133,19,4
5.85714285714286,"1",5743,77,4180,15,14
6,"1",5735,61,4204,8,2
6.14285714285714,"1",5723,47,4230,12,3
6.28571428571429,"1",5718,35,4247,5,3
6.42857142857143,"1",5714,29,4257,4,6
6.57142857142857,"1",5709,26,4265,5,1
6.71428571428571,"1",5705,22,4273,4,2
6.85714285714286,"1",5699,22,4279,6,6
7,"1",5697,16,4287,2,0
7.14285714285714,"1",5693,17,4290,4,1
7.28571428571429,"1",5692,9,4299,1,1
7.42857142857143,"1",5690,6,4304,2,2
7.57142857142857,"1",5690,6,4304,0,0
7.71428571428571,"1",5689,5,4306,1,1
7.85714285714286,"1",5689,3,4308,0,0
8,"1",5689,3,4308,0,0
8.14285714285714,"1",5687,4,4309,2,0
8.28571428571428,"1",5687,4,4309,0,0
8.42857142857143,"1",5686,3,4311,1,1
8.57142857142857,"1",5686,1,4313,0,0
8.71428571428571,"1",5686,0,4314,0,0
8.85714285714286,"1",5686,0,4314,0,0
9,"1",5686,0,4314,0,0
9.14285714285714,"1",5686,0,4314,0,0
9.28571428571428,"1",5686,0,4314,0,0
9.42857142857143,"1",5686,0,4314,0,0
9.57142857142857,"1",5686,0,4314,0,0
9.71428571428571,"1",5686,0,4314,0,0
9.85714285714286,"1",5686,0,4314,0,0
10,"1",5686,0,4314,0,0
