"week","reports"
0.142857142857143,2
0.285714285714286,4
0.428571428571429,2
0.571428571428571,3
0.714285714285714,7
0.857142857142857,10
1,20
1.14285714285714,27
1.28571428571429,20
1.42857142857143,18
1.57142857142857,21
1.71428571428571,37
1.85714285714286,58
2,75
2.14285714285714,44
2.28571428571429,62
2.42857142857143,73
2.57142857142857,98
2.71428571428571,71
2.85714285714286,100
3,131
3.14285714285714,64
3.28571428571429,141
3.42857142857143,143
3.57142857142857,110
3.71428571428571,147
3.85714285714286,83
4,140
4.14285714285714,168
4.28571428571429,73
4.42857142857143,66
4.57142857142857,71
4.71428571428571,33
4.85714285714286,73
5,95
5.14285714285714,54
5.28571428571429,11
5.42857142857143,19
5.57142857142857,15
5.71428571428571,8
5.85714285714286,10
6,14
6.14285714285714,1
6.28571428571429,8
6.42857142857143,3
6.57142857142857,0
6.71428571428571,1
6.85714285714286,1
7,1
7.14285714285714,1
7.28571428571429,1
7.42857142857143,2
7.57142857142857,0
7.71428571428571,0
7.85714285714286,0
8,0
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
