"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9983,10,7,7,1
0.285714285714286,"1",9973,16,11,10,3
0.428571428571429,"1",9963,22,15,10,3
0.571428571428571,"1",9951,19,30,12,6
0.714285714285714,"1",9945,21,34,6,6
0.857142857142857,"1",9937,20,43,8,5
1,"1",9925,21,54,12,4
1.14285714285714,"1",9906,26,68,19,7
1.28571428571429,"1",9887,37,76,19,13
1.42857142857143,"1",9874,36,90,13,10
1.57142857142857,"1",9853,44,103,21,10
1.71428571428571,"1",9828,49,123,25,16
1.85714285714286,"1",9804,44,152,24,9
2,"1",9789,38,173,15,4
2.14285714285714,"1",9768,39,193,21,13
2.28571428571429,"1",9744,50,206,24,5
2.42857142857143,"1",9716,55,229,28,17
2.57142857142857,"1",9686,60,254,30,23
2.71428571428571,"1",9659,62,279,27,6
2.85714285714286,"1",9620,77,303,39,27
3,"1",9551,116,333,69,10
3.14285714285714,"1",9478,143,379,73,53
3.28571428571429,"1",9396,170,434,82,23
3.42857142857143,"1",9291,197,512,105,55
3.57142857142857,"1",9186,215,599,105,57
3.71428571428571,"1",9089,238,673,97,28
3.85714285714286,"1",8956,274,770,133,86
4,"1",8808,299,893,148,41
4.14285714285714,"1",8651,314,1035,157,76
4.28571428571429,"1",8504,317,1179,147,74
4.42857142857143,"1",8340,360,1300,164,96
4.57142857142857,"1",8168,375,1457,172,147
4.71428571428571,"1",8009,374,1617,159,55
4.85714285714286,"1",7861,370,1769,148,75
5,"1",7703,369,1928,158,82
5.14285714285714,"1",7626,313,2061,77,29
5.28571428571429,"1",7569,264,2167,57,23
5.42857142857143,"1",7522,205,2273,47,28
5.57142857142857,"1",7489,159,2352,33,6
5.71428571428571,"1",7453,127,2420,36,13
5.85714285714286,"1",7428,93,2479,25,11
6,"1",7406,84,2510,22,6
6.14285714285714,"1",7385,75,2540,21,9
6.28571428571429,"1",7371,66,2563,14,4
6.42857142857143,"1",7363,50,2587,8,1
6.57142857142857,"1",7354,39,2607,9,2
6.71428571428571,"1",7347,30,2623,7,0
6.85714285714286,"1",7341,28,2631,6,1
7,"1",7334,22,2644,7,4
7.14285714285714,"1",7329,20,2651,5,2
7.28571428571429,"1",7325,16,2659,4,1
7.42857142857143,"1",7320,13,2667,5,2
7.57142857142857,"1",7319,8,2673,1,1
7.71428571428571,"1",7319,6,2675,0,0
7.85714285714286,"1",7317,4,2679,2,2
8,"1",7317,2,2681,0,0
8.14285714285714,"1",7317,1,2682,0,0
8.28571428571428,"1",7317,1,2682,0,0
8.42857142857143,"1",7317,0,2683,0,0
8.57142857142857,"1",7317,0,2683,0,0
8.71428571428571,"1",7317,0,2683,0,0
8.85714285714286,"1",7317,0,2683,0,0
9,"1",7317,0,2683,0,0
9.14285714285714,"1",7317,0,2683,0,0
9.28571428571428,"1",7317,0,2683,0,0
9.42857142857143,"1",7317,0,2683,0,0
9.57142857142857,"1",7317,0,2683,0,0
9.71428571428571,"1",7317,0,2683,0,0
9.85714285714286,"1",7317,0,2683,0,0
10,"1",7317,0,2683,0,0
