"week",".id","S","I","R","H","reports"
0.142857142857143,"1",9981,17,2,9,2
0.285714285714286,"1",9972,23,5,9,4
0.428571428571429,"1",9950,33,17,22,15
0.571428571428571,"1",9934,31,35,16,5
0.714285714285714,"1",9918,31,51,16,11
0.857142857142857,"1",9890,45,65,28,19
1,"1",9862,56,82,28,17
1.14285714285714,"1",9827,62,111,35,21
1.28571428571429,"1",9795,63,142,32,22
1.42857142857143,"1",9749,70,181,46,18
1.57142857142857,"1",9714,64,222,35,16
1.71428571428571,"1",9660,92,248,54,14
1.85714285714286,"1",9612,92,296,48,21
2,"1",9557,105,338,55,37
2.14285714285714,"1",9496,126,378,61,20
2.28571428571429,"1",9421,152,427,75,29
2.42857142857143,"1",9334,182,484,87,41
2.57142857142857,"1",9225,214,561,109,46
2.71428571428571,"1",9126,217,657,99,66
2.85714285714286,"1",9017,239,744,109,48
3,"1",8896,259,845,121,30
3.14285714285714,"1",8802,252,946,94,56
3.28571428571429,"1",8664,271,1065,138,52
3.42857142857143,"1",8512,315,1173,152,117
3.57142857142857,"1",8364,323,1313,148,62
3.71428571428571,"1",8234,313,1453,130,24
3.85714285714286,"1",8094,314,1592,140,73
4,"1",7947,328,1725,147,94
4.14285714285714,"1",7806,331,1863,141,89
4.28571428571429,"1",7641,352,2007,165,102
4.42857142857143,"1",7497,327,2176,144,80
4.57142857142857,"1",7365,313,2322,132,41
4.71428571428571,"1",7246,304,2450,119,53
4.85714285714286,"1",7110,304,2586,136,59
5,"1",6987,297,2716,123,28
5.14285714285714,"1",6934,235,2831,53,18
5.28571428571429,"1",6902,200,2898,32,9
5.42857142857143,"1",6871,161,2968,31,9
5.57142857142857,"1",6820,146,3034,51,59
5.71428571428571,"1",6799,111,3090,21,14
5.85714285714286,"1",6777,92,3131,22,10
6,"1",6768,71,3161,9,7
6.14285714285714,"1",6754,56,3190,14,6
6.28571428571429,"1",6739,48,3213,15,5
6.42857142857143,"1",6733,34,3233,6,0
6.57142857142857,"1",6730,29,3241,3,3
6.71428571428571,"1",6725,24,3251,5,5
6.85714285714286,"1",6723,17,3260,2,1
7,"1",6720,13,3267,3,0
7.14285714285714,"1",6718,9,3273,2,0
7.28571428571429,"1",6716,7,3277,2,0
7.42857142857143,"1",6714,6,3280,2,3
7.57142857142857,"1",6712,5,3283,2,2
7.71428571428571,"1",6709,5,3286,3,2
7.85714285714286,"1",6709,2,3289,0,0
8,"1",6709,0,3291,0,0
8.14285714285714,"1",6709,0,3291,0,0
8.28571428571428,"1",6709,0,3291,0,0
8.42857142857143,"1",6709,0,3291,0,0
8.57142857142857,"1",6709,0,3291,0,0
8.71428571428571,"1",6709,0,3291,0,0
8.85714285714286,"1",6709,0,3291,0,0
9,"1",6709,0,3291,0,0
9.14285714285714,"1",6709,0,3291,0,0
9.28571428571428,"1",6709,0,3291,0,0
9.42857142857143,"1",6709,0,3291,0,0
9.57142857142857,"1",6709,0,3291,0,0
9.71428571428571,"1",6709,0,3291,0,0
9.85714285714286,"1",6709,0,3291,0,0
10,"1",6709,0,3291,0,0
