"week","reports"
0.142857142857143,4
0.285714285714286,3
0.428571428571429,1
0.571428571428571,6
0.714285714285714,11
0.857142857142857,7
1,15
1.14285714285714,20
1.28571428571429,51
1.42857142857143,25
1.57142857142857,25
1.71428571428571,67
1.85714285714286,66
2,45
2.14285714285714,37
2.28571428571429,45
2.42857142857143,45
2.57142857142857,61
2.71428571428571,67
2.85714285714286,141
3,67
3.14285714285714,91
3.28571428571429,137
3.42857142857143,166
3.57142857142857,144
3.71428571428571,56
3.85714285714286,120
4,109
4.14285714285714,71
4.28571428571429,76
4.42857142857143,57
4.57142857142857,34
4.71428571428571,54
4.85714285714286,42
5,32
5.14285714285714,38
5.28571428571429,20
5.42857142857143,4
5.57142857142857,11
5.71428571428571,12
5.85714285714286,7
6,8
6.14285714285714,9
6.28571428571429,0
6.42857142857143,4
6.57142857142857,1
6.71428571428571,1
6.85714285714286,4
7,2
7.14285714285714,4
7.28571428571429,0
7.42857142857143,0
7.57142857142857,0
7.71428571428571,0
7.85714285714286,0
8,0
8.14285714285714,0
8.28571428571428,0
8.42857142857143,0
8.57142857142857,0
8.71428571428571,0
8.85714285714286,0
9,0
9.14285714285714,0
9.28571428571428,0
9.42857142857143,0
9.57142857142857,0
9.71428571428571,0
9.85714285714286,0
10,0
