"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","start_B0","start_sigma_beta","start_Beta","B0_hat","sigma_beta_hat","Beta_hat","logLik","logLik_se","n_successful_pf_evals","status","error_message"
6,1006,1,"83a6fae95545d773b4ac09416fd8a73d","constant_B",600,6,NA,NA,6,NA,NA,3.27092873230182,-204.341214845949,0.417556285106203,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,1,NA,NA,1,NA,NA,4.22358397570458,-219.930192995824,0.423240262933505,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,2,NA,NA,2,NA,NA,4.24843500257477,-219.302931352282,0.323652461737629,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,3,NA,NA,3,NA,NA,4.38842389175973,-218.649255152987,0.382047634319025,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,4,NA,NA,4,NA,NA,4.55514019470827,-218.149013373217,0.33944113607883,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,5,NA,NA,5,NA,NA,4.39255494691505,-218.295130549497,0.472313943018443,5,"success",NA
7,1007,1,"c23f10d0daa427c993e4ece1079ed751","constant_B",600,6,NA,NA,6,NA,NA,4.35704807944795,-219.087916365532,0.441477490911257,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,1,NA,NA,1,NA,NA,3.79104606171725,-241.793075187554,0.485584367566443,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,2,NA,NA,2,NA,NA,3.76960994631801,-240.123608129499,1.89761005739141,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,3,NA,NA,3,NA,NA,3.68361255556577,-240.228951999993,0.889756902661858,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,4,NA,NA,4,NA,NA,3.73069259336038,-241.319538167342,0.565440724874424,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,5,NA,NA,5,NA,NA,3.74247853361449,-241.147987330264,0.447644108214482,5,"success",NA
8,1008,1,"a0af209d0cf0d730b8b3834e0360ae95","constant_B",600,6,NA,NA,6,NA,NA,3.73927793757824,-241.02878831085,0.293600102727999,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,1,NA,NA,1,NA,NA,3.69457514040517,-216.584982137729,0.0825320303592546,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,2,NA,NA,2,NA,NA,3.70766004502543,-215.828243197748,0.619352401209847,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,3,NA,NA,3,NA,NA,3.80208474734727,-215.127417142971,0.865176859866476,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,4,NA,NA,4,NA,NA,3.80357328387516,-215.792097964659,0.337887380302735,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,5,NA,NA,5,NA,NA,3.89566218147963,-216.200922872836,0.233545439308445,5,"success",NA
9,1009,1,"51101219b554b4802624e043f09d6160","constant_B",600,6,NA,NA,6,NA,NA,3.87703768025838,-214.559151972996,1.43488767273107,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,1,NA,NA,1,NA,NA,3.1303028921746,-197.324148251434,0.0308398592996419,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,2,NA,NA,2,NA,NA,3.12751084980254,-197.392993589489,0.0507823560194688,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,3,NA,NA,3,NA,NA,3.11854956819432,-197.324929467003,0.0241907639677556,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,4,NA,NA,4,NA,NA,3.16480803162788,-197.392307068855,0.0252750797303217,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,5,NA,NA,5,NA,NA,3.14794441476118,-197.432021695525,0.0252899876338766,5,"success",NA
10,1010,1,"3658851b68a2ae24c2e8e9838200e49c","constant_B",600,6,NA,NA,6,NA,NA,3.16417541056616,-197.357715923729,0.0323727494542888,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,1,NA,NA,1,NA,NA,3.88496771415323,-238.687824406807,0.518024126810882,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,2,NA,NA,2,NA,NA,3.77687963979432,-239.014737914624,0.924766998924537,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,3,NA,NA,3,NA,NA,3.84423394769253,-238.472638365279,0.435104378036446,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,4,NA,NA,4,NA,NA,3.7811496894105,-239.37192430933,0.414575125059031,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,5,NA,NA,5,NA,NA,3.87328807477592,-239.143690635895,0.698322035433672,5,"success",NA
11,1011,1,"b0091463d341b4712ff6e9dd82a58abf","constant_B",600,6,NA,NA,6,NA,NA,3.90133404881846,-238.048957961768,0.618606716660339,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,1,NA,NA,1,NA,NA,3.34380338832847,-236.060128926936,0.342296551621999,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,2,NA,NA,2,NA,NA,3.51669213862821,-238.216732263821,0.152310095060508,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,3,NA,NA,3,NA,NA,3.46259874074264,-236.84194006749,0.336260435176206,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,4,NA,NA,4,NA,NA,3.53028460091888,-236.493586949544,0.347840601701254,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,5,NA,NA,5,NA,NA,3.54850539848091,-238.298767404493,1.19019199045598,5,"success",NA
12,1012,1,"05f564b562cd69afde749fbba393d734","constant_B",600,6,NA,NA,6,NA,NA,3.45037145272229,-234.827806832035,0.745598137856026,5,"success",NA
