"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","run","evaluation_rep","logLik","status"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,3,-209.693457579725,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,4,-209.909092800966,"success"
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,5,-210.522807514238,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,1,-150.287449664605,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,2,-150.533357508004,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,3,-150.60304531479,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,4,-149.998720395611,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,5,-150.701984126242,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,1,-150.175832490602,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,2,-150.123983919118,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,3,-150.235835576582,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,4,-149.971771696527,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,5,-150.381361323555,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,1,-150.01607970615,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,2,-150.166511321344,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,3,-150.40211626925,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,4,-150.344564246652,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,3,5,-149.68983045093,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,4,1,-150.09110108641,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,4,2,-150.205514480161,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,4,3,-150.222286428545,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,4,4,-150.418353782945,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,4,5,-150.795164039072,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,5,1,-150.379642544306,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,5,2,-150.328839095205,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,5,3,-150.292034324795,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,5,4,-150.344211414374,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,5,5,-150.414196459531,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,6,1,-150.01682739977,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,6,2,-150.345783770387,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,6,3,-150.081444247919,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,6,4,-150.319216006029,"success"
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,6,5,-150.172567688238,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,1,1,-217.375254158288,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,1,2,-216.898471358795,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,1,3,-216.992505424299,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,1,4,-217.091053677452,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,1,5,-216.704917885694,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,2,1,-217.305720168686,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,2,2,-217.025606812372,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,2,3,-217.198734622647,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,2,4,-217.294040013226,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,2,5,-216.614504168815,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,3,1,-216.017298000726,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,3,2,-217.432305157184,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,3,3,-217.334448431647,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,3,4,-217.109975136666,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,3,5,-217.09354749634,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,4,1,-217.318350283248,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,4,2,-217.252445001233,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,4,3,-217.325530617776,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,4,4,-216.858802805952,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,4,5,-216.867231644884,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,5,1,-217.325175779614,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,5,2,-217.138661396839,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,5,3,-216.872778983368,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,5,4,-216.905942145925,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,5,5,-216.926248363152,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,6,1,-217.246110285455,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,6,2,-216.76844977573,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,6,3,-217.237349105352,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,6,4,-216.915130219887,"success"
4,1004,1,"bf8dcbec52b9c4d08f0b3a8b4e1b1840","constant_B",600,6,5,-216.899094557167,"success"
