"task_id","simulation_seed","simulation_attempt","observed_data_md5","model","Nmif","week","B_estimate","B_true"
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,7.28571428571429,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,7.42857142857143,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,7.57142857142857,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,7.71428571428571,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,7.85714285714286,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8.14285714285714,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8.28571428571428,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8.42857142857143,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8.57142857142857,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8.71428571428571,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,8.85714285714286,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9.14285714285714,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9.28571428571428,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9.42857142857143,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9.57142857142857,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9.71428571428571,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,9.85714285714286,4.04534940404491,2
1,1001,1,"64a1b5c02bdecc100b37ee56029391d3","constant_B",600,10,4.04534940404491,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,0.142857142857143,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,0.285714285714286,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,0.428571428571429,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,0.571428571428571,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,0.714285714285714,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,0.857142857142857,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1.14285714285714,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1.28571428571429,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1.42857142857143,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1.57142857142857,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1.71428571428571,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,1.85714285714286,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2.14285714285714,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2.28571428571429,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2.42857142857143,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2.57142857142857,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2.71428571428571,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,2.85714285714286,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3.14285714285714,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3.28571428571429,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3.42857142857143,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3.57142857142857,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3.71428571428571,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,3.85714285714286,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4.14285714285714,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4.28571428571429,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4.42857142857143,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4.57142857142857,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4.71428571428571,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,4.85714285714286,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5,4.58191516227993,4
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5.14285714285714,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5.28571428571429,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5.42857142857143,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5.57142857142857,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5.71428571428571,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,5.85714285714286,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6.14285714285714,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6.28571428571429,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6.42857142857143,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6.57142857142857,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6.71428571428571,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,6.85714285714286,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7.14285714285714,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7.28571428571429,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7.42857142857143,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7.57142857142857,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7.71428571428571,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,7.85714285714286,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8.14285714285714,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8.28571428571428,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8.42857142857143,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8.57142857142857,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8.71428571428571,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,8.85714285714286,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9.14285714285714,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9.28571428571428,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9.42857142857143,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9.57142857142857,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9.71428571428571,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,9.85714285714286,4.58191516227993,2
2,1002,1,"e4e6b4250fb680a6bc44a4c1f239d72e","constant_B",600,10,4.58191516227993,2
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,0.142857142857143,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,0.285714285714286,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,0.428571428571429,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,0.571428571428571,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,0.714285714285714,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,0.857142857142857,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1.14285714285714,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1.28571428571429,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1.42857142857143,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1.57142857142857,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1.71428571428571,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,1.85714285714286,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2.14285714285714,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2.28571428571429,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2.42857142857143,3.03294263829883,4
3,1003,1,"18b73531d17fff4bf85fd3b8b65c91d6","constant_B",600,2.57142857142857,3.03294263829883,4
