"experiment","task_id","week","B_true","B_gamma_sampled_trajectory","B_constant","trajectory_seed","is_time_zero"
4,117,0,4,3.61026637785311,3.38780993855149,137260900,TRUE
4,117,0.142857142857143,4,4.22352146430107,3.38780993855149,137260900,FALSE
4,117,0.285714285714286,4,4.08556998733018,3.38780993855149,137260900,FALSE
4,117,0.428571428571429,4,3.78900241591837,3.38780993855149,137260900,FALSE
4,117,0.571428571428571,4,3.49318887867592,3.38780993855149,137260900,FALSE
4,117,0.714285714285714,4,3.2661010544567,3.38780993855149,137260900,FALSE
4,117,0.857142857142857,4,3.23990033730099,3.38780993855149,137260900,FALSE
4,117,1,4,3.6233602001413,3.38780993855149,137260900,FALSE
4,117,1.14285714285714,4,3.91112724394974,3.38780993855149,137260900,FALSE
4,117,1.28571428571429,4,3.6590331491625,3.38780993855149,137260900,FALSE
4,117,1.42857142857143,4,4.03059833602158,3.38780993855149,137260900,FALSE
4,117,1.57142857142857,4,3.45761650444335,3.38780993855149,137260900,FALSE
4,117,1.71428571428571,4,3.66046121747064,3.38780993855149,137260900,FALSE
4,117,1.85714285714286,4,4.00795034012404,3.38780993855149,137260900,FALSE
4,117,2,4,4.81744247324725,3.38780993855149,137260900,FALSE
4,117,2.14285714285714,4,3.88594619456848,3.38780993855149,137260900,FALSE
4,117,2.28571428571429,4,3.58047550993798,3.38780993855149,137260900,FALSE
4,117,2.42857142857143,4,3.77570837505284,3.38780993855149,137260900,FALSE
4,117,2.57142857142857,4,3.31870697428222,3.38780993855149,137260900,FALSE
4,117,2.71428571428571,4,3.09344471052403,3.38780993855149,137260900,FALSE
4,117,2.85714285714286,4,3.09162235345315,3.38780993855149,137260900,FALSE
4,117,3,4,3.38663312005039,3.38780993855149,137260900,FALSE
4,117,3.14285714285714,4,3.4088619971846,3.38780993855149,137260900,FALSE
4,117,3.28571428571429,4,3.79998978689913,3.38780993855149,137260900,FALSE
4,117,3.42857142857143,4,4.36674378738908,3.38780993855149,137260900,FALSE
4,117,3.57142857142857,4,5.21720781503865,3.38780993855149,137260900,FALSE
4,117,3.71428571428571,4,4.54768590562448,3.38780993855149,137260900,FALSE
4,117,3.85714285714286,4,4.48984949956499,3.38780993855149,137260900,FALSE
4,117,4,4,4.20713119117139,3.38780993855149,137260900,FALSE
4,117,4.14285714285714,4,3.90214742404519,3.38780993855149,137260900,FALSE
4,117,4.28571428571429,4,3.45057214183488,3.38780993855149,137260900,FALSE
4,117,4.42857142857143,4,3.56209742831056,3.38780993855149,137260900,FALSE
4,117,4.57142857142857,4,3.57989990992881,3.38780993855149,137260900,FALSE
4,117,4.71428571428571,4,3.74707375261471,3.38780993855149,137260900,FALSE
4,117,4.85714285714286,4,3.06857499642807,3.38780993855149,137260900,FALSE
4,117,5,4,2.35325763881914,3.38780993855149,137260900,FALSE
4,117,5.14285714285714,2,2.37787774973929,3.38780993855149,137260900,FALSE
4,117,5.28571428571429,2,1.9530906927513,3.38780993855149,137260900,FALSE
4,117,5.42857142857143,2,1.72821554847608,3.38780993855149,137260900,FALSE
4,117,5.57142857142857,2,2.04788955595569,3.38780993855149,137260900,FALSE
4,117,5.71428571428571,2,2.42806314046275,3.38780993855149,137260900,FALSE
4,117,5.85714285714286,2,1.90626302662092,3.38780993855149,137260900,FALSE
4,117,6,2,2.01895466276213,3.38780993855149,137260900,FALSE
4,117,6.14285714285714,2,1.83657056850102,3.38780993855149,137260900,FALSE
4,117,6.28571428571429,2,1.79623526034964,3.38780993855149,137260900,FALSE
4,117,6.42857142857143,2,2.32424449056564,3.38780993855149,137260900,FALSE
4,117,6.57142857142857,2,2.37047964508878,3.38780993855149,137260900,FALSE
4,117,6.71428571428571,2,2.26297484184493,3.38780993855149,137260900,FALSE
4,117,6.85714285714286,2,2.26719576933388,3.38780993855149,137260900,FALSE
4,117,7,2,2.7245378637992,3.38780993855149,137260900,FALSE
4,117,7.14285714285714,2,2.57876821092418,3.38780993855149,137260900,FALSE
4,117,7.28571428571429,2,2.8880213919026,3.38780993855149,137260900,FALSE
4,117,7.42857142857143,2,2.98793403437275,3.38780993855149,137260900,FALSE
4,117,7.57142857142857,2,2.72247333245146,3.38780993855149,137260900,FALSE
4,117,7.71428571428571,2,2.49068500146264,3.38780993855149,137260900,FALSE
4,117,7.85714285714286,2,2.21586592592916,3.38780993855149,137260900,FALSE
4,117,8,2,2.3962060413967,3.38780993855149,137260900,FALSE
4,117,8.14285714285714,2,2.33181665536802,3.38780993855149,137260900,FALSE
4,117,8.28571428571428,2,2.89925077795189,3.38780993855149,137260900,FALSE
4,117,8.42857142857143,2,2.84355175551595,3.38780993855149,137260900,FALSE
4,117,8.57142857142857,2,3.1181025486229,3.38780993855149,137260900,FALSE
4,117,8.71428571428571,2,3.05801664342445,3.38780993855149,137260900,FALSE
4,117,8.85714285714286,2,2.78167120776035,3.38780993855149,137260900,FALSE
4,117,9,2,3.26489125859256,3.38780993855149,137260900,FALSE
4,117,9.14285714285714,2,3.43967373420835,3.38780993855149,137260900,FALSE
4,117,9.28571428571428,2,4.02917614261939,3.38780993855149,137260900,FALSE
4,117,9.42857142857143,2,4.25577832577906,3.38780993855149,137260900,FALSE
4,117,9.57142857142857,2,3.64077726402131,3.38780993855149,137260900,FALSE
4,117,9.71428571428571,2,4.04841859989793,3.38780993855149,137260900,FALSE
4,117,9.85714285714286,2,4.59288349055245,3.38780993855149,137260900,FALSE
4,117,10,2,4.2447986211491,3.38780993855149,137260900,FALSE
