"experiment","task_id","week","I_true","I_gamma_filtered_mean","I_constant_filtered_mean"
4,117,0.142857142857143,11,8.7968536754962,8.68825113341303
4,117,0.285714285714286,10,8.559908613406,8.43653413616661
4,117,0.428571428571429,11,9.49718725074193,9.35410575900367
4,117,0.571428571428571,15,19.2104493010094,17.6378188897474
4,117,0.714285714285714,18,23.4226912390868,21.1628180494711
4,117,0.857142857142857,16,17.9111238006215,17.2615647334298
4,117,1,20,15.8687687106163,15.8103745841373
4,117,1.14285714285714,20,26.7359635572144,25.2737976054687
4,117,1.28571428571429,27,31.8124923660648,29.6635260888744
4,117,1.42857142857143,28,25.0647829631815,25.0421419871346
4,117,1.57142857142857,34,31.4887077227214,30.7887706316563
4,117,1.71428571428571,46,31.8583549307625,31.6277172343754
4,117,1.85714285714286,51,49.8039305088441,45.5698581945346
4,117,2,56,71.9343124434158,60.6654755204015
4,117,2.14285714285714,56,67.8666247421868,60.3661409745673
4,117,2.28571428571429,59,74.8481100402634,67.2998573993441
4,117,2.42857142857143,76,68.3768765947546,65.4197631099953
4,117,2.57142857142857,78,89.6527009439071,81.3534459510877
4,117,2.71428571428571,86,109.610582547677,95.6584007610918
4,117,2.85714285714286,97,85.2421317323673,84.1367706460558
4,117,3,112,117.975842270531,106.656394571702
4,117,3.14285714285714,124,128.654624467617,116.174279794077
4,117,3.28571428571429,146,114.169065024439,111.214665969395
4,117,3.42857142857143,167,100.730026926058,105.316060177871
4,117,3.57142857142857,197,146.57461466146,134.796341390535
4,117,3.71428571428571,212,182.755380041828,156.63420108843
4,117,3.85714285714286,246,251.721509517757,191.355695073068
4,117,4,269,298.088460237895,215.183091033463
4,117,4.14285714285714,281,326.093273357155,233.750223391522
4,117,4.28571428571429,307,392.937876694655,266.211802182883
4,117,4.42857142857143,339,421.793798126385,285.493053583687
4,117,4.57142857142857,384,432.919610386201,299.206976373339
4,117,4.71428571428571,418,485.24538496302,324.202471552787
4,117,4.85714285714286,456,433.746213352309,316.678768633721
4,117,5,498,486.209512927987,337.173504701062
4,117,5.14285714285714,416,375.491269338856,308.231738592179
4,117,5.28571428571429,326,285.305382229443,277.526681481348
4,117,5.42857142857143,261,233.557837788702,251.942785241189
4,117,5.57142857142857,201,183.271017245581,220.585259187648
4,117,5.71428571428571,160,147.805253429873,191.85837356449
4,117,5.85714285714286,122,113.033518110844,159.667021845538
4,117,6,100,86.6064401941147,129.144306536177
4,117,6.14285714285714,86,78.1881091163523,113.796048326665
4,117,6.28571428571429,68,64.9020048803722,94.5641395067537
4,117,6.42857142857143,49,49.992900077294,73.9027679153095
4,117,6.57142857142857,41,34.8192466296511,52.9157651628509
4,117,6.71428571428571,32,22.7480969260331,35.3039578516908
4,117,6.85714285714286,22,18.3922489408398,27.5562412774769
4,117,7,9,15.4342652684216,22.3864548061636
4,117,7.14285714285714,6,12.2806063864663,17.2050555603407
4,117,7.28571428571429,6,8.15703669301703,11.33660275535
4,117,7.42857142857143,2,5.39483350448692,7.27674069608933
4,117,7.57142857142857,0,3.57179567175631,4.60414867645806
4,117,7.71428571428571,0,2.36123284940523,2.88667795142458
4,117,7.85714285714286,0,1.5574202227838,1.80190935814495
4,117,8,0,1.0320185821309,1.11363540696531
4,117,8.14285714285714,0,0.680178595808124,0.68631381910121
4,117,8.28571428571428,0,0.448352999368534,0.421286236358772
4,117,8.42857142857143,0,0.295920473310424,0.260470893798976
4,117,8.57142857142857,0,0.195322515363165,0.162118573823575
4,117,8.71428571428571,0,0.130720314479021,0.0998573192307334
4,117,8.85714285714286,0,0.0871264990051161,0.0628077348146329
4,117,9,0,0.0586320153003738,0.0375198349456224
4,117,9.14285714285714,0,0.0391358513443824,0.0232819399533463
4,117,9.28571428571428,0,0.0261204143005773,0.014377210669027
4,117,9.42857142857143,0,0.0172365287062175,0.00902217805908144
4,117,9.57142857142857,0,0.0109532904941591,0.00546355292715704
4,117,9.71428571428571,0,0.00697209115535064,0.00320208009755062
4,117,9.85714285714286,0,0.00456269469518343,0.0017458975511724
4,117,10,0,0.00288448338401415,0.0011765908756216
