"experiment","task_id","week","quantity","series_key","value","is_time_zero","estimate_semantics","conditioning","time_zero_semantics","series_label"
4,1,5.42857142857143,"B","gamma",4.2010714160979,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,5.57142857142857,"B","gamma",4.18754260232687,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,5.71428571428571,"B","gamma",4.55680324610025,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,5.85714285714286,"B","gamma",5.41434518676082,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6,"B","gamma",5.98995360993889,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6.14285714285714,"B","gamma",5.83207915803946,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6.28571428571429,"B","gamma",5.59022290309659,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6.42857142857143,"B","gamma",4.86118182897529,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6.57142857142857,"B","gamma",4.97912056029176,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6.71428571428571,"B","gamma",5.55256543928243,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,6.85714285714286,"B","gamma",5.71829948650576,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7,"B","gamma",5.14706102550526,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7.14285714285714,"B","gamma",5.22755921201485,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7.28571428571429,"B","gamma",5.00342608191276,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7.42857142857143,"B","gamma",5.40432348662955,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7.57142857142857,"B","gamma",5.71915446903393,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7.71428571428571,"B","gamma",5.8886249303584,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,7.85714285714286,"B","gamma",5.79633648910287,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8,"B","gamma",5.57122267987467,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8.14285714285714,"B","gamma",5.53271063618605,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8.28571428571428,"B","gamma",4.95791350156423,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8.42857142857143,"B","gamma",5.73927195762995,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8.57142857142857,"B","gamma",6.22306346904251,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8.71428571428571,"B","gamma",7.13651784180007,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,8.85714285714286,"B","gamma",8.26135826036108,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9,"B","gamma",8.59838286931024,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9.14285714285714,"B","gamma",8.6833735177494,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9.28571428571428,"B","gamma",7.66309191604003,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9.42857142857143,"B","gamma",8.2619277411765,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9.57142857142857,"B","gamma",8.04495320946349,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9.71428571428571,"B","gamma",7.80002421599226,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,9.85714285714286,"B","gamma",8.39300806405345,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,10,"B","gamma",7.18078717950094,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_B0","Gamma-noise forward simulation"
4,1,0,"B","constant",4.04534940404491,TRUE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,0.142857142857143,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,0.285714285714286,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,0.428571428571429,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,0.571428571428571,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,0.714285714285714,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,0.857142857142857,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
4,1,1,"B","constant",4.04534940404491,FALSE,"forward_simulation_at_fitted_parameters","none_after_t0","fitted_Beta","Constant-B forward simulation"
