"experiment","task_id","week","I_true","I_gamma_filtered_mean","I_constant_filtered_mean"
4,1,0.142857142857143,12,12.2293354272532,11.9467328616021
4,1,0.285714285714286,10,13.0545008417607,12.6526602424686
4,1,0.428571428571429,18,17.2337921286008,16.6206515082088
4,1,0.571428571428571,22,19.2969060986308,18.7482473221049
4,1,0.714285714285714,37,29.8966610746668,28.3474254726383
4,1,0.857142857142857,35,30.2903694051365,29.3526000600899
4,1,1,45,37.5223545675663,36.3497565535834
4,1,1.14285714285714,56,45.9190505760674,44.3777249651027
4,1,1.28571428571429,63,53.7219932969781,52.2113171517256
4,1,1.42857142857143,79,76.8256746661045,71.5629674999827
4,1,1.57142857142857,83,82.2542743992183,78.6345334409704
4,1,1.71428571428571,111,113.769840721271,104.069143069733
4,1,1.85714285714286,131,167.326831979642,142.138776617464
4,1,2,172,199.80706858278,168.908324983892
4,1,2.14285714285714,170,239.644931720982,201.546574272857
4,1,2.28571428571429,183,252.965591091637,223.80654395049
4,1,2.42857142857143,215,260.051483604117,244.517423504291
4,1,2.57142857142857,243,237.807419330089,250.172259447548
4,1,2.71428571428571,237,264.196487785885,278.194373734897
4,1,2.85714285714286,269,300.547876401423,311.182343305733
4,1,3,299,330.592954500384,340.774755754484
4,1,3.14285714285714,323,387.771723903869,381.874529155517
4,1,3.28571428571429,367,418.091489506226,410.248479328296
4,1,3.42857142857143,417,476.59998166937,447.674143237714
4,1,3.57142857142857,452,535.595010092724,482.393388366201
4,1,3.71428571428571,445,566.365721463292,504.485659640212
4,1,3.85714285714286,449,540.534296184864,506.204921387379
4,1,4,423,503.810269304391,500.452390817033
4,1,4.14285714285714,464,535.847916979652,509.493799093723
4,1,4.28571428571429,455,516.985358331897,499.851950384737
4,1,4.42857142857143,452,479.956625184716,480.73608241774
4,1,4.57142857142857,417,457.512339609788,461.922863928821
4,1,4.71428571428571,436,480.769787378086,455.238224689364
4,1,4.85714285714286,397,410.014151486189,416.000703106081
4,1,5,377,364.944113116298,382.459984775355
4,1,5.14285714285714,288,318.058149715199,345.953584617695
4,1,5.28571428571429,231,266.065623568662,304.936900300742
4,1,5.42857142857143,177,204.72474915384,256.295370644654
4,1,5.57142857142857,140,163.354129125366,214.628205299178
4,1,5.71428571428571,101,122.463218858352,171.043698325394
4,1,5.85714285714286,73,91.5987648303299,132.116103270686
4,1,6,65,73.8585011885537,105.522958797985
4,1,6.14285714285714,49,61.7487068068238,86.3301577617058
4,1,6.28571428571429,30,46.3982989468424,65.2185747781717
4,1,6.42857142857143,23,36.0264497787886,49.9493937167746
4,1,6.57142857142857,18,25.9749946801894,35.521959252283
4,1,6.71428571428571,20,24.252907598199,32.2225730079625
4,1,6.85714285714286,18,18.2510747053867,23.7888959973278
4,1,7,14,14.2386101911761,18.0892561112856
4,1,7.14285714285714,12,11.5107710616819,14.2762519659201
4,1,7.28571428571429,9,7.72162453120696,9.54362923639088
4,1,7.42857142857143,8,5.14189034708036,6.28505082343204
4,1,7.57142857142857,3,3.40404472415056,4.08156228086669
4,1,7.71428571428571,3,2.26069240601637,2.63504362306696
4,1,7.85714285714286,2,1.49678749652515,1.68537181539665
4,1,8,1,0.992293549749163,1.07554657792697
4,1,8.14285714285714,1,0.654411432025451,0.681456608303772
4,1,8.28571428571428,1,0.432740759566513,0.434293231676632
4,1,8.42857142857143,1,0.285042461807477,0.28070094694107
4,1,8.57142857142857,0,0.189506036532295,0.179866289079551
4,1,8.71428571428571,0,0.124617813682344,0.11333636931357
4,1,8.85714285714286,0,0.0812387510743455,0.0726195849942594
4,1,9,0,0.0534181240614472,0.0455488520129216
4,1,9.14285714285714,0,0.0346518910016088,0.0294302432841735
4,1,9.28571428571428,0,0.0224486343505255,0.0186391113311163
4,1,9.42857142857143,0,0.0147446203624752,0.0122692996587021
4,1,9.57142857142857,0,0.00978203188723182,0.00787392648942072
4,1,9.71428571428571,0,0.00636322955047382,0.00484028569566811
4,1,9.85714285714286,0,0.00430868989318559,0.00366927717901041
4,1,10,0,0.00258164338254326,0.00203597221197073
